identifier,datestamp,setSpec,@xmlns:dc,@xmlns:oai_dc,@xmlns:xsi,@xsi:schemaLocation,dc:identifier,dc:title,dc:creator,dc:publisher,dc:date,dc:format,dc:language,dc:relation,dc:type,dc:source,dc:rights,dc:description,provenance,sdewey,dewey,source,typedoc,nqamoyen,mode_indexation,title,date,first_indexation_date,streamable
oai:bnf.fr:gallica/ark:/12148/bpt6k878964w,2020-04-07,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k878964w,"Considérations sur l'emploi du feu en médecine, suivies de l'exposé d'un moyen épispastique propre à suppléer la cautérisation et à remplacer l'usage des cantharides, avec le rapport de MM. Portal, Percy et Thénard,... par Louis-François Gondret,...","['Gondret, Louis-François (1776-1855). Auteur du texte', 'Percy, Pierre-François (1754-1825). Auteur du texte']",(Paris),1819,"['In-8° , XVI-94 p.', 'Nombre total de vues :  122']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb305216325,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]",Bibliothèque nationale de France,domaine public,"['Comprend : Rapport', 'Avec mode texte']",bnf.fr,,,Bibliothèque nationale de France,monographie,87.96,text,"Considérations sur l'emploi du feu en médecine, suivies de l'exposé d'un moyen épispastique propre à suppléer la cautérisation et à remplacer l'usage des cantharides, avec le rapport de MM. Portal, Percy et Thénard,... par Louis-François Gondret,...",1819,01/04/2018,false
oai:bnf.fr:gallica/ark:/12148/bpt6k70061m,2021-12-16,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k70061m,"Les chants de Maldoror : chants I, II, III, IV, V, VI / comte de Lautréamont ; frontispice de José Roy",Lautréamont (1846-1870). Auteur du texte,L. Genonceaux (Paris),1890,"['[8]-XI-[1]-385-[3] p.-[1] f. de pl. : ill., fac-sim. ; 18 cm', 'Nombre total de vues :  405']",fre,"['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119481555', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb303628104']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Réserve des livres rares, RES P-YE-679",domaine public,"['[Les chants de Maldoror (français)]', 'Appartient à l’ensemble documentaire : GTextes1', 'Contient une table des matières']",bnf.fr,84,8,"Bibliothèque nationale de France, département Réserve des livres rares, RES P-YE-679",monographie,92.51,text,"Les chants de Maldoror : chants I, II, III, IV, V, VI / comte de Lautréamont ; frontispice de José Roy",1890,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k96918032,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k96918032,L'assassinat du Pont-Rouge (2e édition) / par Charles Barbara,"Barbara, Charles (1822-1886). Auteur du texte",L. Hachette (Paris),1860,"['1 vol. (178-7 p.) ; in-16', 'Nombre total de vues :  206', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30053308q,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-16056",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-16056",monographie,98.7,text,L'assassinat du Pont-Rouge (2e édition) / par Charles Barbara,1860,19/06/2016,false
oai:bnf.fr:gallica/ark:/12148/bpt6k54273333,2019-07-19,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k54273333,"Femmes de la Régence, galerie de portraits : Madame de Verrue, la duchesse de Berry, Mademoiselle Quinault, Madlle de Lespinasse, Madame de Tencin (Troisième édition, revue et corrigée) / par Paul de Musset","Musset, Paul de (1804-1880). Auteur du texte",(Paris),1848,"['1 vol. (403 p.) ; in-18', 'Nombre total de vues :  410']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30999748w,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-55837",domaine public,Avec mode texte,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-55837",monographie,95.8,text,"Femmes de la Régence, galerie de portraits : Madame de Verrue, la duchesse de Berry, Mademoiselle Quinault, Madlle de Lespinasse, Madame de Tencin (Troisième édition, revue et corrigée) / par Paul de Musset",1848,28/08/2008,false
oai:bnf.fr:gallica/ark:/12148/bpt6k5403726j,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k5403726j,Le roman d'un brave homme / par Edmond About,"About, Edmond (1828-1885). Auteur du texte",Hachette (Paris),1899,"['1 vol. (VI-456-12 p.) ; gr. in-8', 'Nombre total de vues :  484']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb422737695,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-19556",domaine public,"['Appartient à l’ensemble documentaire : UnivJeun0', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-19556",monographie,97.04,text,Le roman d'un brave homme / par Edmond About,1899,31/05/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6259104v,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6259104v,Oeuvres de George Sand,"Sand, George (1804-1876). Auteur du texte","Méline, Cans et Cie (Bruxelles)",1838,"['In-4°', 'Nombre total de vues :  649']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31293225b,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Z-5442",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Z-5442",monographie,99.96,text,Oeuvres de George Sand,1838,30/07/2012,false
oai:bnf.fr:gallica/ark:/12148/bpt6k213579t,2019-07-20,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k213579t,L'affaire Lerouge (9e éd.) / par Emile Gaboriau,"Gaboriau, Émile (1832-1873). Auteur du texte",(Paris),1870,"['583 p. ; 18 cm', 'Nombre total de vues :  587']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb39295868v,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]",Bibliothèque nationale de France,domaine public,,bnf.fr,84,8,Bibliothèque nationale de France,monographie,96.95,text,L'affaire Lerouge (9e éd.) / par Emile Gaboriau,1870,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6577510m,2022-12-02,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6577510m,Scènes de la vie privée / par H. de Balzac...,"Balzac, Honoré de (1799-1850). Auteur du texte","au bureau du ""Siècle"" (Paris)",1854-1855,"['2 vol. ; gr. in-8', 'Nombre total de vues :  300']",fre,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30051412r,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, Y2-853",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-853",monographie,99.93,text,Scènes de la vie privée / par H. de Balzac...,1854-1855,07/03/2014,false
oai:bnf.fr:gallica/ark:/12148/bpt6k41789j,2019-07-20,"['gallica:theme:3:32', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k41789j,L'esprit de la révolution de 1789 ([Reprod.]) / par P. L. Roederer,"Roederer, Pierre-Louis (1754-1835). Auteur du texte",chez les principaux libraires (Paris),1831,"['3 microfiches ; 105*148 mm', 'Nombre total de vues :  249']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb37235755q,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, La32-180",conditions spécifiques d'utilisation - Collection Les archives de la Révolution française,"['Collection : Les archives de la Révolution française ; 6.3.204', 'Collection : Les archives de la Révolution française ; 6.3.204', 'Contient une table des matières']",bnf.fr,32,3,"Bibliothèque nationale de France, La32-180",monographie,98.77,text,L'esprit de la révolution de 1789 ([Reprod.]) / par P. L. Roederer,1831,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k23504v,2022-12-02,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k23504v,Epilogues. Réflexions sur la vie.  6. 1905-1912. 6e éd. / Remy de Gourmont,"Gourmont, Remy de (1858-1915). Auteur du texte",Mercure de France (Paris),1910-1923,6 vol. ; 19 cm,fre,"[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb372280241"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb372280241']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]",Bibliothèque nationale de France,domaine public,Appartient à l’ensemble documentaire : GTextes1,bnf.fr,84,8,Bibliothèque nationale de France,monographie,91.67,text,Epilogues. Réflexions sur la vie.  6. 1905-1912. 6e éd. / Remy de Gourmont,1910-1923,15/10/2007,false
