century,author,link
18,"Carmontelle, pseud. de Louis Carrogis (1717-1806) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22carmontelle%22%20or%20dc.contributor%20all%20%22carmontelle%22%20)%20&suggest=10&keywords=carmontelle
18,"Casanova di Seingalt, Jacques, pseud. de Giacomo Casanova (1725-1798) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22casanova%22%20or%20dc.contributor%20all%20%22casanova%22%20%29%20&filter=dc.type%20all%20%22monographie%22%20and%20dc.creator%20all%20%22casanova%2C%20giacomo%20%281725-1798%29.%20auteur%20du%20texte%22
18,"Cazotte, Jacques (1719-1792) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cazotte%2C%20Jacques%20%281719-1792%29%22%20or%20dc.contributor%20all%20%22Cazotte%2C%20Jacques%20%281719-1792%29%22%20%29%20&filter=dc.creator%20all%20%22cazotte%2C%20jacques%20%281719-1792%29.%20auteur%20du%20texte%22
18,"Chamfort, pseud. de Nicolas-Sébastien Roch (1741-1794) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Chamfort%2C%20S%C3%A9bastien-Roch-Nicolas%20de%22%20or%20dc.contributor%20all%20%22Chamfort%2C%20S%C3%A9bastien-Roch-Nicolas%20de%22%20%29%20&filter=dc.type%20all%20%22monographie%22
18,"Charrière, Isabelle Van Zuylen, Madame de (1740-1805) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Charri%C3%A8re%2C%20Isabelle%22%20or%20dc.contributor%20all%20%22Charri%C3%A8re%2C%20Isabelle%22%20%29%20&filter=dc.creator%20all%20%22charri%C3%A8re%2C%20isabelle%20de%20%281740-1805%29.%20auteur%20du%20texte%22
18,"Chénier, André-Marie (1762-1794) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&query=%28%28dc.creator%20all%20%22Ch%C3%A9nier%2C%20Andr%C3%A9%22%20or%20dc.contributor%20all%20%22Ch%C3%A9nier%2C%20Andr%C3%A9%22%29%29%20and%20dc.creator%20all%20%22ch%C3%A9nier%20%2C%20andr%C3%A9%20.%20auteur%20du%20texte%20%281762-1794%29%22&filter=dc.type%20all%20%22monographie%22
18,"Chénier, Marie-Joseph (1764-1811) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Ch%C3%A9nier%2C%20Marie-Joseph%22%20or%20dc.contributor%20all%20%22Ch%C3%A9nier%2C%20Marie-Joseph%22%20%29%20&filter=dc.type%20all%20%22monographie%22%20and%20dc.creator%20all%20%22ch%C3%A9nier%2C%20marie-joseph%20de%20%281764-1811%29.%20auteur%20du%20texte%22
18,"Choderlos de Laclos, Pierre-Ambroise-François (1741-1803) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Choderlos%20de%20Laclos%2C%20Pierre-Ambroise-Fran%C3%A7ois%20%22%20or%20dc.contributor%20all%20%22Choderlos%20de%20Laclos%2C%20Pierre-Ambroise-Fran%C3%A7ois%20%22%20%29%20&filter=dc.creator%20all%20%22choderlos%20de%20laclos%2C%20pierre-ambroise-fran%C3%A7ois%20%281741-1803%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22
18,"Colardeau, Charles-Pierre (1732-1776) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22colardeau,%20charles%20pierre%22%20or%20dc.contributor%20all%20%22colardeau,%20charles%20pierre%22%20)%20&suggest=10&keywords=colardeau,%20charles%20pierre"
18,"Condillac, Étienne Bonnot de (1714-1780)  (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Condillac%2C%20%C3%89tienne%20Bonnot%20de%22%20or%20dc.contributor%20all%20%22Condillac%2C%20%C3%89tienne%20Bonnot%20de%22%20%29%20&filter=dc.creator%20all%20%22condillac%2C%20%C3%A9tienne%20bonnot%20de%20%281714-1780%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22
