century,link,identifier,author,title,contributors,rights
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22r%C3%A9tif%20de%20la%20bretonne%22%20or%20dc.contributor%20all%20%22r%C3%A9tif%20de%20la%20bretonne%22%20)%20&suggest=10&keywords=r%C3%A9tif%20de%20la%20bretonne,https://gallica.bnf.fr/ark:/12148/bpt6k3372315b,"Rétif de La Bretonne, Nicolas-Edme (1734-1806) (nouvelle fenêtre)","Anglais, rendez-nous Napoléon... / Georges Rétif de La Bretonne",[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22r%C3%A9tif%20de%20la%20bretonne%22%20or%20dc.contributor%20all%20%22r%C3%A9tif%20de%20la%20bretonne%22%20)%20&suggest=10&keywords=r%C3%A9tif%20de%20la%20bretonne,https://gallica.bnf.fr/ark:/12148/bpt6k48012318,"Rétif de La Bretonne, Nicolas-Edme (1734-1806) (nouvelle fenêtre)","Un génie dévergondé : Nicolas-Edme Rétif, dit de La Bretonne, 1734-1806 / Jacques Cellard",[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Rivarol%2C%20Antoine%20Rivaroli%22%20or%20dc.contributor%20all%20%22Rivarol%2C%20Antoine%20Rivaroli%22%20%29%20&filter=dc.type%20all%20%22monographie%22%20and%20dc.creator%20all%20%22rivarol%2C%20antoine%20de%20%281753-1801%29.%20auteur%20du%20texte%22,https://gallica.bnf.fr/ark:/12148/bpt6k4801057t,"Rivarol, Antoine Rivaroli, dit (1753-1801)  (nouvelle fenêtre)","Rivarol : ""le Français par excellence"" (Voltaire) / Jean Lessay",[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Rousseau%2C%20Jean-Jacques%22%20or%20dc.contributor%20all%20%22Rousseau%2C%20Jean-Jacques%22%20%29%20&filter=dc.creator%20all%20%22rousseau%2C%20jean-jacques%20%281712-1778%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k4808081n,"Rousseau, Jean-Jacques (1712-1778) (nouvelle fenêtre)","Rousseau ""Économie politique"" 1755 / par Yves Vargas",[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Rousseau%2C%20Jean-Jacques%22%20or%20dc.contributor%20all%20%22Rousseau%2C%20Jean-Jacques%22%20%29%20&filter=dc.creator%20all%20%22rousseau%2C%20jean-jacques%20%281712-1778%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k33262702,"Rousseau, Jean-Jacques (1712-1778) (nouvelle fenêtre)",Une grève d'esclaves à Alger au XVIIIe siècle / Michel Launay. Avec Émile et Sophie ou Les solitaires / de Jean-Jacques Rousseau,[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22La%20Vergne%20de%20Tressan%22%20or%20dc.contributor%20all%20%22La%20Vergne%20de%20Tressan%22%20)%20&suggest=10&keywords=La%20Vergne%20de%20Tressan,https://gallica.bnf.fr/ark:/12148/cb32712386x/date,"Tressan, Louis-Élisabeth de La Vergne, Comte de (1705-1783) (nouvelle fenêtre)",Bibliothèque universelle des romans,"[""Paulmy, Antoine-René de Voyer d'Argenson marquis de (1722-1787). Directeur de publication"", 'Bastide, Jean-François de (1724-1798). Directeur de publication', 'Tressan, Louis-Élisabeth de La Vergne (1705-1783 ; comte de). Collaborateur']",[]
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Vauvenargues%2C%20Luc%20de%20Clapiers%22%20or%20dc.contributor%20all%20%22Vauvenargues%2C%20Luc%20de%20Clapiers%22%20%29%20%20and%20%28dc.type%20all%20%22monographie%22%29&filter=dc.creator%20all%20%22vauvenargues%2C%20luc%20de%20clapiers%20%281715-1747%20%3B%20marquis%20de%29.%20auteur%20du%20texte%22,https://gallica.bnf.fr/ark:/12148/bpt6k3334769s,"Vauvenargues, Luc de Clapiers, marquis de (1715-1747) (nouvelle fenêtre)",Quelques notes sur Vauvenargues / G. Saintville,[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Balzac%2C%20Honor%C3%A9%20de%20%281799-1850%29%22%20or%20dc.contributor%20all%20%22Balzac%2C%20Honor%C3%A9%20de%20%281799-1850%29%22%20%29%20&filter=dc.creator%20all%20%22balzac%2C%20honor%C3%A9%20de%20%281799-1850%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k33208686,"Balzac, Honoré de (1799-1850) (nouvelle fenêtre)",Balzac et la Touraine / texte et photogr. de Philippe Renault ; préf. de Paul Métadier,"['Renault, Philippe (1961-....). Illustrateur', 'Métadier, Paul (1918-2021). Préfacier']","[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Balzac%2C%20Honor%C3%A9%20de%20%281799-1850%29%22%20or%20dc.contributor%20all%20%22Balzac%2C%20Honor%C3%A9%20de%20%281799-1850%29%22%20%29%20&filter=dc.creator%20all%20%22balzac%2C%20honor%C3%A9%20de%20%281799-1850%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k4813909r,"Balzac, Honoré de (1799-1850) (nouvelle fenêtre)","De Barthes à Balzac : fictions d'un critique, critiques d'une fiction / Claude Brémond, Thomas Pavel",[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22C%C3%A9ard%2C%20Henry%20%281851-1924%29%22%20or%20dc.contributor%20all%20%22C%C3%A9ard%2C%20Henry%20%281851-1924%29%22%20%29%20&filter=dc.creator%20all%20%22c%C3%A9ard%2C%20henry%20%281851-1924%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k3380171x,"Céard, Henry (1851-1924) (nouvelle fenêtre)",Pierrot fin de siècle ou Les métamorphoses d'un masque / Jean de Palacio,[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
