century;identifier;author;title;rights
19;https://gallica.bnf.fr/ark:/12148/bpt6k3350659c;Cros, Charles (1842-1888) (nouvelle fenêtre);Le droit et la doctrine de la justice (Nouvelle édition) / par P. C. Solberg et Guy-Ch. Cros;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/cb326880577/date;Deschamps, Emile (1791-1871) (nouvelle fenêtre);"Almanach des orphéons et des sociétés instrumentales... / par M. M. Camille de Vos, Ch. Coligny, Jules-Janin, Arsène Houssaye, Emile Deschamps, Roger de Beauvoir, Em. de la Bedollière, Eugène d'Auriac, A. de Pontécoulant, Léon Escudier, Léon Gatayes, Lomon, H. Vié, Firmin Maillard, Anders, Joannis Guigard, Jules Mahias, de Lyden, Alexis Faure, Eliacim Jourdain, Benjamin Gastineau, Nozahies, etc. ; sous la direction de J. F. Vaudin,...";[]
19;https://gallica.bnf.fr/ark:/12148/cb32838724h/date;Esquiros, Alphonse (1812-1876) (nouvelle fenêtre);Le Peuple (Paris. 1848);[]
19;https://gallica.bnf.fr/ark:/12148/cb32881422b/date;Esquiros, Alphonse (1812-1876) (nouvelle fenêtre);La Tribune nationale (Paris. 1848);[]
19;https://gallica.bnf.fr/ark:/12148/cb328601952/date;Feydeau, Ernest (1821-1873) (nouvelle fenêtre);Revue internationale de l'art et de la curiosité / publiée sous la direction de Ernest Feydeau;[]
19;https://gallica.bnf.fr/ark:/12148/bpt6k33963970;Gautier, Théophile (1811-1872) (nouvelle fenêtre);"La description du ""Panthéon"" de Paul Chenavard par Gautier et Nerval : une collaboration inconnue / Jean Richer";"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k33382076;Hugo, Victor (1802-1885) (nouvelle fenêtre);Contribution aux études sur Victor Hugo... : ébauches et brouillons... notes et documents divers / René Journet, Guy Robert;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3324748b;Lamartine, Alphonse de (1790-1869) (nouvelle fenêtre);Lamartine retrouvé : paysages romantiques / Mireille Védrine;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/cb327468261/date;Lemaître, Jules (1853-1914) (nouvelle fenêtre);Conférences faites aux matinées classiques du Théâtre national de l'Odéon;[]
19;https://gallica.bnf.fr/ark:/12148/cb32694497t/date;Lemaître, Jules (1853-1914) (nouvelle fenêtre);Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig;[]
19;https://gallica.bnf.fr/ark:/12148/cb34515900p/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Conque (Paris);[]
19;https://gallica.bnf.fr/ark:/12148/cb32858610z/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"Revue des livres anciens : documents d'histoire littéraire, de bibliographie & de bibliophilie / direction Pierre Louÿs ; rédaction Louis Loviot";[]
19;https://gallica.bnf.fr/ark:/12148/cb34398235f/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Compte rendu des travaux de la Société des sciences, arts et belles-lettres de Mâcon;[]
19;https://gallica.bnf.fr/ark:/12148/cb327543836/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Décade philosophique, littéraire et politique / par une société de républicains;[]
19;https://gallica.bnf.fr/ark:/12148/cb32861016w/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Revue philosophique, littéraire et politique;[]
19;https://gallica.bnf.fr/ark:/12148/cb32800386d/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Journal des sapeurs-pompiers...;[]
19;https://gallica.bnf.fr/ark:/12148/cb32796964w/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Journal d'économie publique, de morale et de politique / rédigé par Roederer,...;[]
19;https://gallica.bnf.fr/ark:/12148/cb34503352k/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Le Centaure (Paris. 1896);[]
19;https://gallica.bnf.fr/ark:/12148/cb32802310n/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Journal prophétique;[]
19;https://gallica.bnf.fr/ark:/12148/cb32735725z/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Cahiers du quatrième ordre;[]
19;https://gallica.bnf.fr/ark:/12148/cb32841528v/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Poste du matin, ou l'Ami de la patrie, de la liberté, des moeurs et de l'égalité;[]
19;https://gallica.bnf.fr/ark:/12148/cb34400547n/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Les Cahiers politiques (1943);[]
19;https://gallica.bnf.fr/ark:/12148/cb343481908/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Annales des sciences naturelles. Botanique et biologie végétale / publiées sous la direction de P. Allorge et L. Blaringhem;[]
19;https://gallica.bnf.fr/ark:/12148/cb36137018r/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);L'Homme rouge : satire hebdomadaire / par Veyrat et Berthaud;[]
19;https://gallica.bnf.fr/ark:/12148/cb34520232c/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);L'Univers (1867);[]
19;https://gallica.bnf.fr/ark:/12148/cb32689659t/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Almanach littéraire ou Etrennes d'Apollon;[]
