Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;dewey;sdewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Barbusse_Clarté;ark__12148_bpt6k113310h;https://gallica.bnf.fr/ark:/12148/bpt6k113310h;Clarté : roman ;Barbusse, Henri (1873-1935);(Paris);1919;"['1 vol. (290 p.) ; 20 cm', 'Nombre total de vues : 300']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761545j;Bibliothèque nationale de France, département Littérature et art, 8-Y2-65103;;bnf.fr;80;840;monographie;95970;12.03.2008 00:00;7ba4109a-4955-445b-a5b5-b9cc5c30eb75;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_L'ennemi des lois ;ark__12148_bpt6k61362655;https://gallica.bnf.fr/ark:/12148/bpt6k61362655;L'ennemi des lois ;Barrès, Maurice (1862-1923);Perrin et Cie (Paris);1893;"['302 p. ; in-16', 'Nombre total de vues : 312']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300597800;Bibliothèque nationale de France, département Littérature et art, 8-Y2-47126;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;800;monographie;9780;06.09.2010 00:00;cafcb8b4-875a-46b3-b741-cb2953cc5395;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_L'illusion ;ark__12148_bpt6k1133141;https://gallica.bnf.fr/ark:/12148/bpt6k1133141;L'illusion ;Barbusse, Henri (1873-1935);(Paris);1919;"['1 vol. (61 p.) : couv. ill. ; 17 cm', 'Nombre total de vues : 66']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35217027b;Bibliothèque nationale de France, département Littérature et art, 16-Y2-41343;"''[''''Collection : Une heure d'oubli ; 21'''', ''''Collection : Une heure d'oubli ; 21'''']''";bnf.fr;80;840;monographie;88850;15.10.2007 00:00;b9bd05a6-1103-4a63-b7e1-1825ab1054e0;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_Vingt-cinq années de vie littéraire;ark__12148_bpt6k1231363;https://gallica.bnf.fr/ark:/12148/bpt6k1231363;Vingt-cinq années de vie littéraire, pages choisies (3e édition) ;Barrès, Maurice (1862-1923);(Paris);1908;"['1 vol. (XCII-442 p.) ; in-8', 'Nombre total de vues : 551']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317664502;Bibliothèque nationale de France, département Littérature et art, Z BARRES-34;Avec mode texte;bnf.fr;80;840;monographie;88190;07.10.2008 00:00;314a7031-e2ac-4898-a96c-3542baefd324;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_Le roman de l'énergie nationale;ark__12148_bpt6k10578363;https://gallica.bnf.fr/ark:/12148/bpt6k10578363;Le roman de l'énergie nationale. 1, Les déracinés ;Barrès, Maurice (1862-1923);E. Fasquelle (Paris);1897;"['1 vol. (493 p.) ; 16 cm', 'Nombre total de vues : 525', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb40200355x'''', ''''Titre d'ensemble : Le roman de l'énergie nationale'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31766067p']'';Bibliothèque nationale de France, département Réserve des livres rares, RES 8-Z DON-595 (371);['Collection : Bibliothèque-Charpentier', 'Collection : Bibliothèque-Charpentier', 'Appartient à l’ensemble documentaire : GTextes1', 'Avec mode texte'];bnf.fr;;;monographie;99940;13.10.2014 00:00;20985a23-78cb-4980-965d-f9fdbce7806f;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_Amori et dolori sacrum. La;ark__12148_bpt6k940131h;https://gallica.bnf.fr/ark:/12148/bpt6k940131h;Amori et dolori sacrum. La mort de Venise ;Barrès, Maurice (1862-1923);(Paris);1902;"['313 p. ; in-16', 'Nombre total de vues : 326']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31765912n;Bibliothèque nationale de France, département Littérature et art, Z BARRES-143;['Appartient à l’ensemble documentaire : GTextes1', 'Avec mode texte'];bnf.fr;;;monographie;89210;19.01.2015 00:00;33687073-c506-4b33-8d95-b9ebabc8e6c7;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_Du sang, de la volupté;ark__12148_bpt6k9614753b;https://gallica.bnf.fr/ark:/12148/bpt6k9614753b;Du sang, de la volupté et de la mort ;Barrès, Maurice (1862-1923);Arthème Fayard (Paris);1910;"['1 vol. (125 p.) : ill., front., pl., couv. ill. en coul. ; 24 cm', 'Nombre total de vues : 130']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31766388g;Bibliothèque nationale de France, département Littérature et art, 8-Y2-54485 (81);"['Collection : Modern-Bibliothèque ; 81', 'Collection : Modern-Bibliothèque ; 81', 'Contient une table des matières', 'Avec mode texte']";bnf.fr;80;840;monographie;99440;23.11.2015 00:00;fdc6760d-4239-49d5-a104-f2fe8b6ab273;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_L'étrangère ;ark__12148_bpt6k113313n;https://gallica.bnf.fr/ark:/12148/bpt6k113313n;L'étrangère ;Barbusse, Henri (1873-1935);(Paris);1921;"['1 vol. (61 p.) : couv. ill. ; 17 cm', 'Nombre total de vues : 66']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35217028p;Bibliothèque nationale de France, département Littérature et art, 16-Y2-41344;"''[''''Collection : Une heure d'oubli ; 90'''', ''''Collection : Une heure d'oubli ; 90'''']''";bnf.fr;80;840;monographie;70910;15.10.2007 00:00;25878b94-97ce-4a8f-90aa-f54d72355975;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_L'ennemi des lois (Ed. définitive);ark__12148_bpt6k81228s;https://gallica.bnf.fr/ark:/12148/bpt6k81228s;L'ennemi des lois (Ed. définitive) ;Barrès, Maurice (1862-1923);(Paris);1927;"['VI-261 p. ; 19 cm', 'Nombre total de vues : 280']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31766175k;Bibliothèque nationale de France, département Littérature et art, 8-Y2-72372;Contient une table des matières;bnf.fr;80;840;monographie;94960;15.10.2007 00:00;c6c23bf3-5ed0-4db0-aeb1-c9553aa76395;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Le feu ;ark__12148_bpt6k990598p;https://gallica.bnf.fr/ark:/12148/bpt6k990598p;Le feu : (journal d'une escouade) ;Barbusse, Henri (1873-1935);E. Flammarion (Paris);1916;"['1 vol. ([4]-378-[1] p.) ; in-16', 'Nombre total de vues : 397']";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31761560f'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb167647788', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761560f']'';Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-1903;['[Le feu (français)]', 'Appartient à l’ensemble documentaire : GG14182', 'Avec mode texte', 'Roman'];bnf.fr;80;840;monographie;89080;16.02.2015 00:00;c58f5e0c-925e-49c2-a291-cd91de1d0f4b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
