Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;dewey;sdewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Jarry_Les jours et les nuits;ark__12148_bpt6k9921454;https://gallica.bnf.fr/ark:/12148/bpt6k9921454;Les jours et les nuits : roman d'un déserteur ;Jarry, Alfred (1873-1907);''Société du ''''Mercure de France'''' (Paris)'';1897;"['1 vol. (279 p.) ; 19 cm', 'Nombre total de vues : 310']";fre;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb122604662', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30647257f'];Bibliothèque nationale de France, département Littérature et art, 8-Y2-50871;['[Les jours et les nuits (français)]', 'Avec mode texte'];bnf.fr;;;monographie;87640;22.05.2017 00:00;4148f371-5786-4cc3-8be4-d08145f23b5d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_Retour d'Alsace;ark__12148_bpt6k874231f;https://gallica.bnf.fr/ark:/12148/bpt6k874231f;Retour d'Alsace : août 1914 ;Giraudoux, Jean (1882-1944);(Paris);1916;"['1 vol. (103 p.) ; in-12', 'Nombre total de vues : 112']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34084136t;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LH4-2820;Avec mode texte;bnf.fr;90;940;monographie;88030;02.11.2015 00:00;49f4e2d8-4838-41ec-8ee2-881622ac2c1c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Drieu La Rochelle_Genève ou Moscou ;ark__12148_bpt6k4223019v;https://gallica.bnf.fr/ark:/12148/bpt6k4223019v;Genève ou Moscou ;Drieu La Rochelle, Pierre (1893-1945);(Paris);1928;"['268 p. ; 19 cm', 'Nombre total de vues : 279']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb354529749;Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-7393;Avec mode texte;bnf.fr;80;890;monographie;8960;25.11.2019 00:00;088e6343-3a3b-468f-a5b4-333d41a18450;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_Amphitryon 38 ;ark__12148_bpt6k9782251b;https://gallica.bnf.fr/ark:/12148/bpt6k9782251b;Amphitryon 38 : comédie en trois actes ;Giraudoux, Jean (1882-1944);Bernard Grasset (Paris);1929;"['1 vol. (220 p.) ; in-16', 'Nombre total de vues : 244']";['fre', 'français'];['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb123662455', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32169819v'];Bibliothèque nationale de France, département Littérature et art, 8-YTH-39030;['[Amphitryon 38 (français)]', 'Contient une table des matières', 'Avec mode texte'];bnf.fr;70;790;monographie;99460;12.09.2017 00:00;0492238b-2edf-48aa-9363-fb622f6a2a4f;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Jarry_Les Minutes de sable ;ark__12148_btv1b8618381s;https://gallica.bnf.fr/ark:/12148/btv1b8618381s;Les Minutes de sable : mémorial ;Jarry, Alfred (1873-1907);(Paris);1894;"['1 vol. (IX-210-[3] p.-[9] f. de pl.) ; 15 cm', 'Nombre total de vues : 249']";['fre', 'français'];''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb35873187s'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35873187s']'';Bibliothèque nationale de France, département Réserve des livres rares, RESP-Z-2580;['Appartient à l’ensemble documentaire : GTextes1', 'Avec mode texte'];bnf.fr;;;monographie;99940;11.07.2011 00:00;38c4148e-9579-47cc-9ac1-aaa2b04240b2;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_Combat avec l'ange ;ark__12148_bpt6k9739153m;https://gallica.bnf.fr/ark:/12148/bpt6k9739153m;Combat avec l'ange : roman ;Giraudoux, Jean (1882-1944);B. Grasset (Paris);1934;"['1 vol. (332 p.) ; in-16', 'Nombre total de vues : 358']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32169861n;Bibliothèque nationale de France, département Littérature et art, 8-Y2-75249 (5,1);Avec mode texte;bnf.fr;80;840;monographie;9960;29.08.2016 00:00;266724c5-4b4e-4349-a3ca-785abd5e75a4;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_Suzanne et le Pacifique;ark__12148_bpt6k9739562z;https://gallica.bnf.fr/ark:/12148/bpt6k9739562z;Suzanne et le Pacifique ([46e édition]) ;Giraudoux, Jean (1882-1944);Grasset (Paris);1939;"['1 vol. (288 p. ) ; in-16', 'Nombre total de vues : 312']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32170023x;Bibliothèque nationale de France, département Littérature et art, 8-Y2-86244;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;99880;29.08.2016 00:00;9298e4fb-4502-4d86-8a44-1306e88b8196;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Drieu La Rochelle_L'homme à cheval ;ark__12148_bpt6k4223073n;https://gallica.bnf.fr/ark:/12148/bpt6k4223073n;L'homme à cheval : roman (18e éd.) ;Drieu La Rochelle, Pierre (1893-1945);(Paris);1943;"['247 p. ; 19 cm', 'Nombre total de vues : 264']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb320448955;Bibliothèque nationale de France, département Littérature et art, 16-Y2-482;Avec mode texte;bnf.fr;80;800;monographie;89460;01.12.2019 00:00;d69373e7-6c99-4922-a1bf-1e640a98381d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_La folle de Chaillot ;ark__12148_bpt6k3042150j;https://gallica.bnf.fr/ark:/12148/bpt6k3042150j;La folle de Chaillot : pièce en deux actes ;Giraudoux, Jean (1882-1944);(Neuchâtel);1945;"['1 vol. (145 p.) ; 23 cm', 'Nombre total de vues : 164']";['fre', 'français'];['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12540951h', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb357165876'];Bibliothèque nationale de France, département Littérature et art, 8-YE-26248;['[La folle de Chaillot (français)]', 'Avec mode texte'];bnf.fr;80;840;monographie;89320;17.02.2019 00:00;873859fa-e4a2-4438-b5ce-239dcf413a15;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Proust_À la recherche du temps;ark__12148_bpt6k5675144f;https://gallica.bnf.fr/ark:/12148/bpt6k5675144f;À la recherche du temps perdu. 1, Du côté de chez Swann ;Proust, Marcel (1871-1922);Nouvelle revue française (Paris);1919;"['1 vol. (386 p.) ; 19 cm', 'Nombre total de vues : 392']";['fre', 'français'];''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb34305767v'''', ''''Titre d'ensemble : À la recherche du temps perdu'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12010842s', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb311551366']'';Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-1902 (1);['[Du côté de chez Swann (français)]', 'Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;96370;21.07.2009 00:00;9cc71a95-28a8-4ac6-8b72-7297e7019d65;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Sadoul_Notes sur la révolution bolchévique;ark__12148_bpt6k9921318;https://gallica.bnf.fr/ark:/12148/bpt6k9921318;Notes sur la révolution bolchévique (octobre 1917-janvier 1919) ;Sadoul, Jacques (1881-1956);Editions de la Sirène (Paris);1919;"['1 vol. (465 p.) : portrait ; in-8', 'Nombre total de vues : 474']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32596366k;Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-11815;Avec mode texte;bnf.fr;90;940;monographie;89370;08.05.2017 00:00;e338dd39-ebf5-4772-be95-841a4f600449;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
France_Jocaste et le chat maigre;ark__12148_bpt6k1057704s;https://gallica.bnf.fr/ark:/12148/bpt6k1057704s;Jocaste et le chat maigre ;France, Anatole (1844-1924);Calmann-Lévy (Paris);1879;"['301 p. ; in-18', 'Nombre total de vues : 327', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32123807k;Bibliothèque nationale de France, département Réserve des livres rares, RES 8-Z DON-595 (144);Avec mode texte;bnf.fr;;;monographie;99950;01.09.2014 00:00;b1a46c3c-5a8c-4ba3-9bb7-d1f4227e3ab9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
France_Histoire contemporaine,Monsieur Bergeret;ark__12148_bpt6k6210316v;https://gallica.bnf.fr/ark:/12148/bpt6k6210316v;Histoire contemporaine. , Monsieur Bergeret à Paris ;France, Anatole (1844-1924);C. Lévy (Paris);1901;"['1 vol. (404 p.) ; in-18', 'Nombre total de vues : 430']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30457742n;Bibliothèque nationale de France, département Littérature et art, 8-Y2-52641;Avec mode texte;bnf.fr;80;840;monographie;99980;02.04.2012 00:00;7d0150bb-9a44-4bb4-a6fe-debdef193897;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ramuz_Jean-Luc persécuté ;ark__12148_bpt6k42230156;https://gallica.bnf.fr/ark:/12148/bpt6k42230156;Jean-Luc persécuté : et deux autres histoires de la montagne ;Ramuz, Charles-Ferdinand (1878-1947);(Lausanne);1909;"['265 p. ; 19 cm', 'Nombre total de vues : 296']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35218362x;Bibliothèque nationale de France, département Littérature et art, 16-Y2-44917;"['Comprend : Le Tout-Vieux ; Alors il alla à la messe', 'Avec mode texte']";bnf.fr;80;800;monographie;8880;25.11.2019 00:00;7adef140-f7f6-4ddd-9db4-4829e2bc7943;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Proust_À l'ombre des jeunes filles;ark__12148_bpt6k80502p;https://gallica.bnf.fr/ark:/12148/bpt6k80502p;À l'ombre des jeunes filles en fleurs. Tome 2 ;Proust, Marcel (1871-1922);(Paris);1920;"['2 vol. (250, 228 p.) ; in-16', 'Nombre total de vues : 231']";['fre', 'français'];''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31155140f'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119662421', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31155140f']'';Bibliothèque nationale de France, département Littérature et art, 8-Y2-24964 (2);''[''''[À l'ombre des jeunes filles en fleurs (français)]'''', 'Contient une table des matières']'';bnf.fr;80;840;monographie;6030;15.10.2007 00:00;2a30f582-d051-419a-959a-f527152b3511;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bataille_Le beau voyage ;ark__12148_bpt6k102659q;https://gallica.bnf.fr/ark:/12148/bpt6k102659q;Le beau voyage : poésies ;Bataille, Henry (1872-1922);Bibliothèque-Charpentier, Eugène Fasquelle, éditeur (Paris);1904;"''[''''1 vol. (255 p.-[1] f. de front.) : portrait de l'auteur par lui-même ; 19 cm'''', 'Nombre total de vues : 262']''";fre;['Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb44283282g', 'Appartient à : [Dépôt de la Commission de récupération artistique, sous-commission des livres]', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31772205x'];Bibliothèque nationale de France, département Littérature et art, 8-Ye-6088;Contient une table des matières;bnf.fr;80;840;monographie;81850;15.10.2007 00:00;20eb1458-323e-4534-861b-7edcdf99aa43;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernard_Visites nocturnes ;ark__12148_bpt6k9796505n;https://gallica.bnf.fr/ark:/12148/bpt6k9796505n;Visites nocturnes : roman ;Bernard, Tristan (1866-1947);Albin Michel (Paris);1934;"['1 vol. (252 p.) ; in-16', 'Nombre total de vues : 270']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31802452q;Bibliothèque nationale de France, département Littérature et art, 8-Y2-81022;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;99550;15.10.2017 00:00;84986133-d9c4-41d8-a7db-959cd738a419;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Capus_Théâtre complet. Tome 5 ;ark__12148_bpt6k57908799;https://gallica.bnf.fr/ark:/12148/bpt6k57908799;Théâtre complet. Tome 5 ;Capus, Alfred (1858-1922);A. Fayard (Paris);1910;"8 vol. ; in-8";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31905968c'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31905968c']'';Bibliothèque nationale de France, département Littérature et art, 8-YF-1712 (5);;bnf.fr;80;840;monographie;92490;17.05.2010 00:00;be582b7b-d332-438b-92a6-75943471242a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Alain_Miracles (2e éd.) ;ark__12148_bpt6k9606887t;https://gallica.bnf.fr/ark:/12148/bpt6k9606887t;Miracles (2e éd.) ;Alain-Fournier (1886-1914);['Gallimard (Paris)', 'Éd. de la Nouvelle Revue Française (Paris)'];1924;"['1 vol. (220 p.) ; 19 cm', 'Nombre total de vues : 244']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34810461t;Bibliothèque nationale de France, département Littérature et art, 16-Y2-48645;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;99770;03.08.2015 00:00;10269d3b-2541-4475-95fd-51e3a20ada90;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernard_L'accord parfait ;ark__12148_bpt6k9804248h;https://gallica.bnf.fr/ark:/12148/bpt6k9804248h;L'accord parfait : comédie en trois actes ;Bernard, Tristan (1866-1947), Feydeau, Georges (1862-1921), Corday, Michel (1869-1937);l'Illustration (Paris);1912;"['2 parties en 1 fasc. (16-17 p.) : fig. ; gr. in-8', 'Nombre total de vues : 56']";fre;''[''''Périodique lié : L'Illustration théâtrale(ISSN 1155-7540), 19120217 (Notice : http://catalogue.bnf.fr/ark:/12148/cb34439974f)'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31967591h']'';Bibliothèque nationale de France, département Littérature et art, 4-YTH-8353;''[''''Comprend : Mais n'te promène donc pas toute nue'''', 'Avec mode texte']'';bnf.fr;70;790;monographie;9850;22.10.2017 00:00;54059458-d7c0-43b9-a2dc-37676a2aded8;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Segalen_L'observation médicale chez les écrivains;ark__12148_bpt6k106376f;https://gallica.bnf.fr/ark:/12148/bpt6k106376f;L'observation médicale chez les écrivains naturalistes : thèse pour le doctorat en médecine, présentée et soutenue publiquement le 29 janv. 1902 ;Segalen, Victor (1878-1919);(Bordeaux);1902;"['1 vol. (86 p.) ; in-8', 'Nombre total de vues : 80']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb36931402d;Bibliothèque nationale de France, département Réserve des livres rares, RES-P-Z-2782;Appartient à l’ensemble documentaire : Aquit1;bnf.fr;60;610;monographie;90340;15.10.2007 00:00;9a8b4968-133b-4274-8002-4b25ae7c5af0;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Gillet_Paul Valéry et la métaphysique;ark__12148_bpt6k4809722h;https://gallica.bnf.fr/ark:/12148/bpt6k4809722h;Paul Valéry et la métaphysique ;Gillet, Martin Stanislas (1875-1951), Valéry, Paul (1871-1945);Flammarion (Paris);1935;"['1 vol. (183 p.) ; in-16', 'Nombre total de vues : 208']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32166408c;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-42027;''[''''Comprend : [Lettre au P. Gillet, 30 janvier 1927, suivie de la réponse de l'auteur, 7 février 1927]'''', 'Contient une table des matières', 'Avec mode texte']'';bnf.fr;10;110;monographie;99990;12.12.2017 00:00;49a5ab17-6f20-49e8-9df7-d54719bdd894;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Roussel_Locus Solus ;ark__12148_bpt6k109252r;https://gallica.bnf.fr/ark:/12148/bpt6k109252r;Locus Solus ;Roussel, Raymond (1877-1933);A. Lemerre (Paris);1914;"['459 p. ; in-18', 'Nombre total de vues : 466']";fre;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12325836s', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb312587718'];Bibliothèque nationale de France, département Littérature et art, 8-Y2-62816;[Locus Solus (français)];bnf.fr;80;840;monographie;9910;15.10.2007 00:00;a03a892a-34ef-428c-bec3-18fb24462535;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Pourrat_Amitiés suisses d'Henri Pourrat ;ark__12148_bpt6k97628951;['https://gallica.bnf.fr/ark:/12148/bpt6k97628951', 'https://gallica.bnf.frISBN 2908631172'];Amitiés suisses d'Henri Pourrat ;Pourrat, Henri (1887-1959), Ramuz, Charles-Ferdinand (1878-1947);Bibliothéque municipale et interuniversitaire, Centre Henri-Pourrat (Clermont-Ferrand);2000;"['1 vol. (179 p.) : ill. ; 21 cm', 'Nombre total de vues : 204']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb371942644;Amis d'Henri Pourrat, 2016-283943;"['Collection : Cahiers Henri Pourrat ; 17', 'Comprend : La partie de printemps ; [Correspondance avec Charles-Ferdinand Ramuz] ; [Correspondance avec Henri Pourrat]', 'Contient une table des matières', 'Avec mode texte']";bnf.fr;80;840;monographie;99740;16.01.2017 00:00;1dfc6068-a4c8-4bac-a792-d997bb58773a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Vonoven_Les honnêtes gens ;ark__12148_bpt6k64972364;https://gallica.bnf.fr/ark:/12148/bpt6k64972364;Les honnêtes gens ;Vonoven, Lucien, Capus, Alfred (1858-1922);A. Ghio (Paris);1878;"['1 vol. (271 p.) ; in-18', 'Nombre total de vues : 296']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31606697v;Bibliothèque nationale de France, département Littérature et art, 8-Y2-1897;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;99960;13.05.2013 00:00;de97a54b-c7fb-4d53-923f-161bfd47a327;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Noailles_Le visage émerveillé ;ark__12148_bpt6k111802x;https://gallica.bnf.fr/ark:/12148/bpt6k111802x;Le visage émerveillé ;Noailles, Anna de (1876-1933);Calmann-Lévy (Paris);1904;"['1 vol. (212 p.) ; in-12', 'Nombre total de vues : 216']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb310204946;Bibliothèque nationale de France, département Littérature et art, 8-Y2-56900;;bnf.fr;80;840;monographie;99470;06.12.2007 00:00;f8f42766-2c92-48fd-a9a3-2fafa92e1746;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_Haendel (3e éd.) ;ark__12148_bpt6k994121g;https://gallica.bnf.fr/ark:/12148/bpt6k994121g;Haendel (3e éd.) ;Rolland, Romain (1866-1944);(Paris);1911;['244 p.', 'Nombre total de vues : 260'];['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb351081384;Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-329;['Collection : Les Maîtres de la musique', 'Collection : Les Maîtres de la musique', 'Avec mode texte'];bnf.fr;;;monographie;87450;16.06.2019 00:00;a6d7fc86-15a9-441c-b373-ecbf2299e93b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernanos_Le chemin de la Croix;ark__12148_bpt6k8859060;https://gallica.bnf.fr/ark:/12148/bpt6k8859060;Le chemin de la Croix des-Ames (articles de guerre) : 1943-1944. 4e volume ;Bernanos, Georges (1888-1948);(Rio de Janeiro);1945;"['1 vol. (154 p.) ; in-16', 'Nombre total de vues : 170']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31800829t;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 16-G-430 (6);Avec mode texte;bnf.fr;80;800;monographie;89020;30.12.2018 00:00;5ad7c970-faf8-4cb5-ba53-d9e4b3ccda52;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Boyer_Louise Michel ;ark__12148_bpt6k97678537;https://gallica.bnf.fr/ark:/12148/bpt6k97678537;''Louise Michel : ''''la vierge rouge'''' '';Boyer, Irma;André Delpeuch (Paris);1927;"['1 vol. (IX-247 p.) ; in-16', 'Nombre total de vues : 288']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31862805j;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-62336;['Appartient à l’ensemble documentaire : BnPlCo00', 'Appartient à l’ensemble documentaire : BnPlCo01', 'Contient une table des matières', 'Avec mode texte'];bnf.fr;90;920;monographie;99220;06.03.2017 00:00;ca61ac65-ff9f-40b2-8b34-259b95dda69a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_Mahatma Gandhi (Edition nouvelle revue,;ark__12148_bpt6k934525s;https://gallica.bnf.fr/ark:/12148/bpt6k934525s;Mahatma Gandhi (Edition nouvelle revue, corrigée et augmentée) ;Rolland, Romain (1866-1944);(Paris);1926;"['1 vol. (208 p.) ; in-16', 'Nombre total de vues : 226']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31238638r;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-O2K-1743;Avec mode texte;bnf.fr;90;950;monographie;87230;05.10.2015 00:00;4aba8670-e246-4399-b447-dcd2ee718dc6;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_Vie de Beethoven (10e éd.);ark__12148_bpt6k992519v;https://gallica.bnf.fr/ark:/12148/bpt6k992519v;Vie de Beethoven (10e éd.) ;Rolland, Romain (1866-1944);Hachette (Paris);1921;['VIII-153 p.', 'Nombre total de vues : 162'];fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb350929555;Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-166;Avec mode texte;bnf.fr;;;monographie;88790;11.03.2018 00:00;edf22a84-8e10-46f1-8bc4-f3bb9459c067;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Régnier_Poèmes, 1887-1892 ;ark__12148_bpt6k825683;https://gallica.bnf.fr/ark:/12148/bpt6k825683;Poèmes, 1887-1892 ;Régnier, Henri de (1864-1936);(Paris);1895;"['1 vol. (268 p.) ; in-18', 'Nombre total de vues : 274']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31189217s;Bibliothèque nationale de France, département Littérature et art, 8-Ye-4018;Contient une table des matières;bnf.fr;80;840;monographie;0;15.10.2007 00:00;c9b644d6-0d4c-4785-bc76-c1f4eeb78ea8;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_Musiciens d'autrefois ;ark__12148_bpt6k936710q;https://gallica.bnf.fr/ark:/12148/bpt6k936710q;''Musiciens d'autrefois : l'opéra avant l'opéra, l'''''Orfeo'''' de Luigi Rossi, Lully, Gluck, Grétry, Mozart (3e édition revue) '';Rolland, Romain (1866-1944);(Paris);1912;"['1 vol. (306 p.) : musique ; in-16', 'Nombre total de vues : 334']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31238650m;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-G-3368;Avec mode texte;bnf.fr;70;780;monographie;88930;05.10.2015 00:00;4ac8e763-0ad1-4cfa-a033-fb5dc73f9d26;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_Oeuvres complètes. Tome 2 ;ark__12148_bpt6k9785674n;https://gallica.bnf.fr/ark:/12148/bpt6k9785674n;Oeuvres complètes. Tome 2 ;Rolland, Romain (1866-1944);A. Michel (Paris);1930-1934;['10 vol. : ill. en coul.', 'Nombre total de vues : 424'];fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb350789091'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb350789091']'';Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-18;Avec mode texte;bnf.fr;80;840;monographie;99930;11.07.2017 00:00;a5fee867-852a-40d3-86b2-c3f45be927d1;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Régnier_Le plateau de laque;ark__12148_bpt6k82570n;https://gallica.bnf.fr/ark:/12148/bpt6k82570n;Le plateau de laque (4e édition) ;Régnier, Henri de (1864-1936);(Paris);1913;"['1 vol. (316 p.) ; in-12', 'Nombre total de vues : 320']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31189214r;Bibliothèque nationale de France, département Littérature et art, 8-Y2-61404;Contient une table des matières;bnf.fr;80;840;monographie;0;15.10.2007 00:00;bee9422c-9213-478e-bc1b-ad1645ff13b6;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Régnier_Le trèfle noir... ;ark__12148_bpt6k86308791;https://gallica.bnf.fr/ark:/12148/bpt6k86308791;Le trèfle noir... ;Régnier, Henri de (1864-1936);Mercure de France (Paris);1895;"['1 vol. (133 p.) ; in-12', 'Nombre total de vues : 160']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31189250m;Bibliothèque nationale de France, département Littérature et art, 8-Y2-49175;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;800;monographie;99940;05.06.2016 00:00;d19cce11-d0f9-46f0-8b3d-3c37c7b7ad26;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
