Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Eynard_Essai sur la vie de;ark__12148_bpt6k1148759;https://gallica.bnf.fr/ark:/12148/bpt6k1148759;Essai sur la vie de Tissot,... : contenant des lettres inédites de Tronchin, Voltaire, Haller, Zimmermann, Rousseau, Bonnet, Stanislas Auguste II, Napoléon Bonaparte, etc. ;"Eynard, Charles (1808-1876), Stanislas II Auguste Poniatowski (1732-1798 ; roi de Pologne), Tissot, Samuel Auguste André David (1728-1797), Tronchin, Théodore (1709-1781), Voltaire (1694-1778), Rousseau, Jean-Jacques (1712-1778), Napoléon Ier (1769-1821 ; empereur des Français)";(Lausanne);1839;"1 vol. (389 p.) ; in-8, Nombre total de vues : 387";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb304123388;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, M-26048;;bnf.fr;610;60;monographie;99380;10.12.2007 00:00;bcdb99ee-ad77-4d16-821a-a3fdb3f76755;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Fléchier_Chefs-d'oeuvre oratoires de Fléchier, Bourdaloue.;ark__12148_bpt6k6458009r;https://gallica.bnf.fr/ark:/12148/bpt6k6458009r;Chefs-d'oeuvre oratoires de Fléchier, Bourdaloue. [Petit Carême ;Fléchier, Esprit (1632-1710), Massillon, Jean-Baptiste (1663-1742), Bourdaloue, Louis (1632-1704);Furne (Paris);1853;"1 vol. (478 p.) ; in-8, Nombre total de vues : 506";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30440681c;Bibliothèque nationale de France, département Littérature et art, X-25169;Comprend : Petit carême, Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;99960;24.12.2012 00:00;1739daed-1316-42e1-a002-f1686ac356e3;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Florian_400 coups d'un gamin de;ark__12148_bpt6k6515179z;https://gallica.bnf.fr/ark:/12148/bpt6k6515179z;400 coups d'un gamin de Paris ;Florian, Jean-Pierre Claris de (1755-1794);Tallandier (Paris);1932;"64 p. : ill., couv. ill. en coul. ; in-fol., Nombre total de vues : 76";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb43530278v;Ville de Paris / Fonds Heure joyeuse, 2013-37668;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99930;26.03.2013 00:00;65586943-6c06-45dd-b4ae-58f3a312ef5b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Fos_Gastronomiana, proverbes, aphorismes, préceptes et;ark__12148_bpt6k61198468;https://gallica.bnf.fr/ark:/12148/bpt6k61198468;Gastronomiana, proverbes, aphorismes, préceptes et anecdotes en vers, précédés de notes relatives à l'histoire de la table, par Georges d'Heylli ;Fos, Léon de (1797-1889), Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837), Heylli, Georges d (1833-1902)];Rouquette (Paris);1870;In-12, XXXV-169 p., Nombre total de vues : 230;français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30451669z;Bibliothèque nationale de France, département Littérature et art, YE-22629;"''''''Comprend : Avantage de la bonne chère sur les femmes, discours dun vrai gourmand ; Notes relatives à lhistoire de la table'''', Appartient à l’ensemble documentaire : PatGourm, Contient une table des matières, Avec mode texte''";bnf.fr;700;70;monographie;96240;23.08.2010 00:00;2bd274e1-8e8c-439a-883b-8b7ce9c09a3e;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Galland_Du retour des Bourbons en;ark__12148_bpt6k5796103m;https://gallica.bnf.fr/ark:/12148/bpt6k5796103m;Du retour des Bourbons en France et du gouvernement paternel de Louis XVIII , par A. Galland, membre de la commission des sciences et arts d'Égypte;Galland, Antoine (1763-1851);chez lauteur (Paris);1815;In-8° , 30 p., Nombre total de vues : 38;français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30476365c;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB45-456;Avec mode texte;bnf.fr;840;80;monographie;99980;18.10.2010 00:00;d8e6d0ea-d296-4f93-95a2-0883407e504c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Genlis_Contes moraux;ark__12148_bpt6k5492135m;https://gallica.bnf.fr/ark:/12148/bpt6k5492135m;Contes moraux ;Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830);(Paris);1861;"1 vol. (VII-287 p.) : ill. ; in-16, Nombre total de vues : 318";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30495426x;Bibliothèque nationale de France, département Littérature et art, Y2-38327;Collection : Bibliothèque rose illustrée, Collection : Bibliothèque rose illustrée, Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99980;10.02.2009 00:00;9f943b5a-cc24-42f4-bcd6-61aa6e46e569;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Genlis_La Duchesse de La Vallière;ark__12148_bpt6k97920723;https://gallica.bnf.fr/ark:/12148/bpt6k97920723;La Duchesse de La Vallière . Septième édition. Par madame de Genlis;Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830);(Paris);1806;"XXIII-1-351 p. ; in-8, Nombre total de vues : 394";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb304955355;Bibliothèque nationale de France, département Littérature et art, 8-Y2-61280;Avec mode texte;bnf.fr;840;80;monographie;9850;14.08.2017 00:00;a71da17b-f94d-4297-9cfa-26fbd7198e42;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Genlis_Les soupers de la maréchale;ark__12148_bpt6k3044350v;https://gallica.bnf.fr/ark:/12148/bpt6k3044350v;Les soupers de la maréchale de Luxembourg . Dédiés a Mr. le vicomte de Larochefoucauld, par Mme la comtesse de Genlis.;Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830);Roux, libraire, Palais-Royal,... (Paris), et chez Ponthieu,... (Arthus-Bertrand,...), Delaunay,... (), Lecointe et Durey,... ();1828;"VIII-511-1 p. ; in-8, Nombre total de vues : 532";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30495693m;Bibliothèque nationale de France, département Littérature et art, Z-49474;Avec mode texte;bnf.fr;800;80;monographie;87790;25.03.2019 00:00;aeaac932-aa7b-47ac-b6c7-5b34e8982b67;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Genlis_Les souvenirs de Félicie L****;ark__12148_bpt6k63670171;https://gallica.bnf.fr/ark:/12148/bpt6k63670171;Les souvenirs de Félicie L**** . Par Mme de Genlis. Nouvelle édition;Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830);(Paris);1827;"348 p. ; in-12, Nombre total de vues : 376, application/epub+zip 3.0 accessible, Format adaptable de type XML DTBook, 2005-3";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30495698b;Bibliothèque nationale de France, département Littérature et art, Y2-38472;Avec mode texte;bnf.fr;840;80;monographie;99930;17.12.2012 00:00;74b5d99b-b1e4-482b-a8a2-ce05114cd598;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Genlis_Mademoiselle de La Fayette, ou;ark__12148_bpt6k5819696z;https://gallica.bnf.fr/ark:/12148/bpt6k5819696z;Mademoiselle de La Fayette, ou Le siècle de Louis XIII. T. 1 ;Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830);(Paris);1815;"2 vol. (XII-198, 206 p.) ; in-12, Nombre total de vues : 238";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb304955502'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb304955502']'';Bibliothèque nationale de France, département Littérature et art, Y2-38378;Avec mode texte;bnf.fr;840;80;monographie;96090;12.04.2010 00:00;1522d737-1ccf-40f2-81c7-729cbf0f69e3;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
