Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Genlis_Manuel de la jeune femme,;ark__12148_bpt6k8533221;https://gallica.bnf.fr/ark:/12148/bpt6k8533221;Manuel de la jeune femme, guide complet de la maîtresse de maison,... par Mme la comtesse de G. ... [Genlis.];Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830);(Paris);1829;In-12, 356 p., pl., titre gravé, Nombre total de vues : 380;français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30495663p;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, R-37060;Avec mode texte;bnf.fr;;;monographie;78320;03.02.2014 00:00;ab9e040f-b279-47c4-a2e4-96ce86879549;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Genlis_Mémoires de Mme de Genlis;ark__12148_bpt6k6183667t;https://gallica.bnf.fr/ark:/12148/bpt6k6183667t;''Mémoires de Mme de Genlis sur la cour, la ville et les salons de Paris, illustrés par Janet-Lange et V. Foulquier, publiés avec le concours de Mme Georgette Ducrest. - Le Château de Coppet en 1807. Le Poignard de cristal. Fragment des ''''Souvenirs de Félicie'''''';Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830);(Paris);;Gr. in-8° , 160 p., fig., Nombre total de vues : 162;français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30495674b;Bibliothèque nationale de France, département Littérature et art, Z-9692 (1);Avec mode texte;bnf.fr;;;monographie;97430;09.05.2011 00:00;1878cf3d-0082-4e6f-b943-58d96778eabc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Gerard_Essai sur le goût ,;ark__12148_bpt6k97872544;https://gallica.bnf.fr/ark:/12148/bpt6k97872544;Essai sur le goût , par Alexandre Gérard,... Augmenté de trois dissertations sur le même sujet, par Mrs de Voltaire, d'Alembert et de Montesquieu : traduit sur la seconde édition angloise, par M. E***;Gerard, Alexander (1728-1795), Alembert, D (1717-1783), Montesquieu (1689-1755), Voltaire (1694-1778);Delalain (Paris), Vve Coignard de la Pinelle et L. Frantin (Dijon);1766;"VIII-306-4 p. ; in-8, Nombre total de vues : 330";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30498075r;Bibliothèque nationale de France, département Littérature et art, Z-27577;"''''''Comprend : Réflexions sur lusage et sur labus de la philosophie dans les matières de goût... ; Essai sur le goût... ; Essai sur le goût'''', Contient une table des matières, Avec mode texte''";bnf.fr;800;80;monographie;9500;17.07.2017 00:00;7a8f2617-d990-4977-917d-29beb7807abb;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Goethe_Les veillées littéraires illustrées. T.;ark__12148_bpt6k5696663c;https://gallica.bnf.fr/ark:/12148/bpt6k5696663c;Les veillées littéraires illustrées. T. I : choix de romans, nouvelles, poésies, pièces de théâtre etc., etc., des meilleurs écrivains anciens et modernes;"Goethe, Johann Wolfgang von (1749-1832), Gilbert, Nicolas-Joseph-Laurent (1750-1780), Constant, Benjamin (1767-1830), Florian, Jean-Pierre Claris de (1755-1794), Sterne, Laurence (1713-1768), Esquiros, Alphonse (1812-1876), Maistre, Xavier de (1763-1852), Maistre, Xavier de (1763-1852), Esquiros, Alphonse (1812-1876), Rouget de Lisle, Claude Joseph (1760-1836), Chénier, Marie-Joseph de (1764-1811), Goldsmith, Oliver (1730?-1774), Esquiros, Alphonse (1812-1876), Cazotte, Jacques (1719-1792), Franklin, Benjamin (1706-1790), Crébillon, Claude-Prosper de (1707-1777), Gastineau, Benjamin (1823-1904), Tressan, Louis-Élisabeth de La Vergne (1705-1783 ; comte de), Lachambeaudie, Pierre (1806-1872), Bonaparte, Lucien (1775-1840), Duras, Claire de (1777-1828), Duras, Claire de (1777-1828), Cottin, Sophie (1770-1807), Lachambeaudie, Pierre (1806-1872), Sandeau, Jules (1811-1883), Baudelaire, Charles (1821-1867), Bougarre, Léopold. , Bonaparte, Pierre Napoléon (1815-1881), Lacroix, Paul (1806-1884)";J. Bry aîné (Paris);1849;"17 fasc. reliés en 1 vol. : ill. ; 32 cm, Nombre total de vues : 488";français;['Périodique lié : Les Veillées littéraires illustrées(ISSN 2025-4423), 1849 (Notice : http://catalogue.bnf.fr/ark:/12148/cb41954864m)', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30525450h'];Bibliothèque nationale de France, département Littérature et art, Z-10195 (1-17);Avec mode texte;bnf.fr;840;80;monographie;92560;17.08.2009 00:00;fdb9ef27-25c9-4ea8-b97d-81993daa4e30;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Grimod de La Reynière_L'Alambic littéraire, ou Analyses raisonnées;ark__12148_bpt6k9800433h;https://gallica.bnf.fr/ark:/12148/bpt6k9800433h;L'Alambic littéraire, ou Analyses raisonnées d'un grand nombre d'ouvrages publiés récemment. Tome 2 ;Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837);''''''lauteur (Paris)'''', Maradan (Paris), Desenne etc. (Paris)'';1803;"2 vol. (VIII-400 ; 408 p.) ; in-8, Nombre total de vues : 424";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30543068d'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30543068d']'';Bibliothèque nationale de France, département Littérature et art, Z-29738;Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;9850;01.10.2017 00:00;44affbf6-8763-4abf-874b-487ed6f772bf;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Grimod de La Reynière_Le Gastronome français, ou L'art;ark__12148_bpt6k64847550;https://gallica.bnf.fr/ark:/12148/bpt6k64847550;Le Gastronome français, ou L'art de bien vivre , par les anciens auteurs du Journal des gourmands, MM. G. D. L. R***, D. D***, Gastermann, G***, Clytophon, Charles Sartrouville C. L. C***, C***, Marie de Saint-Ursin, B*** etc. : Ouvrage mis en ordre, accompagné de notes, de dissertations et d'observations par M. C***;Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837), Cadet de Gassicourt, Charles-Louis (1769-1821);Paris. Charles-Béchet, libraire-commissionnaire, quai des Augustins, N° 57, près le Pont-Neuf. 1828;1828;"VIII-503 p., frontisp. ; in-8, Nombre total de vues : 538, application/epub+zip";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb33400272w;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-13155;Appartient à l’ensemble documentaire : PatGourm, Contient une table des matières, Avec mode texte;bnf.fr;640;60;monographie;99990;14.10.2013 00:00;b722f084-2351-4f1d-a049-4f4e9ac96cba;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Krüdener_Valérie;ark__12148_bpt6k3043107v;https://gallica.bnf.fr/ark:/12148/bpt6k3043107v;Valérie ;Krüdener, Barbara Juliane von (1764-1824);(Paris);1878;"1 vol. (339 p.) : pl., fac-sim., portr. ; in-8, Nombre total de vues : 380";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30697562w;Bibliothèque nationale de France, département Littérature et art, 8-Z-567 (5);"Collection : Petite bibliothèque de luxe ; 5, Collection : Petite bibliothèque de luxe ; 5, Avec mode texte";bnf.fr;800;80;monographie;81810;27.02.2019 00:00;41af2c05-0276-467b-818c-38026d9382f1;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
La Beaumelle_Vie de Maupertuis;ark__12148_bpt6k108346z;https://gallica.bnf.fr/ark:/12148/bpt6k108346z;Vie de Maupertuis ;"La Beaumelle, Laurent de (1727-1773), Angliviel, Maurice (1779-1876), Frédéric II (1712-1786 ; roi de Prusse), Maupertuis, Pierre-Louis Moreau de (1698-1759)";Ledoyen (Paris);1856;"XI-494 p. ; in-18, Nombre total de vues : 509";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb307027558;Bibliothèque nationale de France, département Centre technique du livre, 8-Ln27-13823;"Comprend : Lettre (de Maurice Angliviel du 5 octobre 1857) à M. Ledoyen, libraire, et à M. Ch. Meyrueis, imprimeur-libraire ; Lettres inédites / de Frédéric le Grand ; Lettres inédites / de Maupertuis";bnf.fr;520;50;monographie;99480;15.10.2007 00:00;77cdbe05-2f44-4a12-a2da-f5a568e1c218;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
La Fontaine_Choix de fables de La;ark__12148_bd6t5370024g;https://gallica.bnf.fr/ark:/12148/bd6t5370024g;Choix de fables de La Fontaine, Florian et autres auteurs : avec des notices biographiques et des notes explicatives, à l'usage des écoles primaires et de l'année préparatoire de l'enseignement secondaire spécial ;La Fontaine, Jean de (1621-1695), Florian, Jean-Pierre Claris de (1755-1794);Hachette (Paris);1885;"1 vol (140 p.) ; in-16, Nombre total de vues : 148";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb320046635;Bibliothèque nationale de France, département Littérature et art, 8-YE-932;Avec mode texte;bnf.fr;840;80;monographie;8930;20.01.2022 00:00;a5aabd57-f558-4339-9e3d-a84c3b6f35c7;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Lambert (11)_Precis de la vie du;ark__12148_bpt6k5618994c;https://gallica.bnf.fr/ark:/12148/bpt6k5618994c;Precis de la vie du citoyen Lambert, depuis sa naissance jusqu'a ce jour . Suivi de quelques lettres de J. J. Rousseau, qui n'ont point encore été imprimées;Lambert (11), Rousseau, Jean-Jacques (1712-1778);;1793;"36 p. ; in-8, Nombre total de vues : 40";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30726488s;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-11217;Comprend : Lettres de Jean-Jacques Rousseau, au citoyen Lenieps, père de la citoyenne Lambert, Avec mode texte;bnf.fr;350;30;monographie;99980;28.12.2009 00:00;f35788f7-b6a5-4de7-b7c2-765405a810e5;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Lesage_Gil Blas de Santillane... Édition;ark__12148_bpt6k5772921h;https://gallica.bnf.fr/ark:/12148/bpt6k5772921h;Gil Blas de Santillane... Édition pour la jeunesse, avec introduction par Louis Tarsot,...;Lesage, Alain-René (1668-1747);(Paris);1907;In-4° , III-126 p., fig., Nombre total de vues : 152;français;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119426464', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30801016c'];Bibliothèque nationale de France, département Littérature et art, 4-Y2-6030;Histoire de Gil Blas de Santillane (français), Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;97650;12.01.2010 00:00;0920d0ce-e1ec-4abf-b44e-69cad26a244b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
M_De l'Esprit des loix, ou;ark__12148_bpt6k97615325;https://gallica.bnf.fr/ark:/12148/bpt6k97615325;De l'Esprit des loix, ou Du rapport que les loix doivent avoir avec la constitution de chaque gouvernement, les moeurs, le climat, la religion, le commerce, etc.. Partie 1 ;Montesquieu (1689-1755);Barrillot et fils (Genève);1749;2 parties en 1 vol. (XXIV-326-2-XIV-398 p.) : in-4, Nombre total de vues : 360;français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb309703575'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb120107535', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb309703575']'';Bibliothèque nationale de France, département Droit, économie, politique, E*-214;''''''Lesprit des lois (français)'''', Appartient à l’ensemble documentaire : BnPlCo00, Appartient à l’ensemble documentaire : BnPlCo03, Contient une table des matières, Avec mode texte'';bnf.fr;320;30;monographie;9170;03.01.2017 00:00;d304a409-4762-489f-a18f-73c818db01f7;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Marivaux_La vie de Marianne. précédée;ark__12148_bpt6k423605v;https://gallica.bnf.fr/ark:/12148/bpt6k423605v;La vie de Marianne. précédée d'une notice par M. de Lescure. T3 ;Marivaux, Pierre de (1688-1763), Lescure, Adolphe de (1833-1892);(Paris);1882;"3 vol. : frontisp. gr. ; in-16, Nombre total de vues : 290";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30886616w'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb120655399', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30886616w']'';Bibliothèque nationale de France, département Littérature et art, 8-Z-1628 (5,3);"La vie de Marianne (français), Collection : Bibliothèque des dames ; 5, Collection : Bibliothèque des dames ; 5, Comprend : Marivaux romancier";bnf.fr;840;80;monographie;96790;03.03.2008 00:00;1e9c41a4-3211-4eb5-80b8-5c4d2b519ec7;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Marivaux_Oeuvres de Marivaux : théâtre;ark__12148_bpt6k101967z;https://gallica.bnf.fr/ark:/12148/bpt6k101967z;Oeuvres de Marivaux : théâtre complet (Nouvelle édition contenant une pièce non encore recueillie) ;Marivaux, Pierre de (1688-1763);Laplace, Sanchez et Cie (Paris);1878;"1 vol. (XLI-623 p.) : pl. en coul. ; gr. in-8, Nombre total de vues : 688";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb308863836;Bibliothèque nationale de France, département Littérature et art, 4-Z R Rolland-5583;Appartient à l’ensemble documentaire : Utopie1, Appartient à l’ensemble documentaire : GTextes1, Contient une table des matières;bnf.fr;840;80;monographie;7130;15.10.2007 00:00;d90eaac9-858c-4939-a47a-671c7e2812ba;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Marmontel_Mémoires;ark__12148_bpt6k6241762m;https://gallica.bnf.fr/ark:/12148/bpt6k6241762m;Mémoires ;Marmontel, Jean-François (1723-1799);Firmin Didot frères (Paris);1846;"1 vol. (XI-446 p.) ; in-16, Nombre total de vues : 472";français;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb17883642g', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30887870g'];Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-L45-24 (5);"''Mémoires (français), ''''Collection : Bibliothèque des mémoires relatifs à lhistoire de France, pendant le 18e siècle ; 5'''', ''''Collection : Bibliothèque des mémoires relatifs à lhistoire de France, pendant le 18e siècle ; 5'''', Contient une table des matières, Avec mode texte''";bnf.fr;840;80;monographie;99960;23.07.2012 00:00;52a908ca-d85a-451e-b37a-fbc7e8000b58;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Massillon_Petit carême de M. Massillon,;ark__12148_bpt6k97432875;https://gallica.bnf.fr/ark:/12148/bpt6k97432875;Petit carême de M. Massillon, évêque de Massillon . Imprimé par ordre du Roi pour l'éducation de monseigneur le Dauphin;Massillon, Jean-Baptiste (1663-1742);impr. de Didot laîné (Paris);1789;"6-312 p. ; in-4, Nombre total de vues : 328";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb309033145;Bibliothèque nationale de France, département Littérature et art, CNLJT-3505;Collection : Collection des auteurs classiques françois et latins, Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;200;20;monographie;99080;12.09.2016 00:00;fd19eff8-fecc-4720-8d03-ee23715a982f;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Massillon_Sermons de M. Massillon, evêque;ark__12148_bpt6k9664792t;https://gallica.bnf.fr/ark:/12148/bpt6k9664792t;Sermons de M. Massillon, evêque de Clermont, ci-devant prêtre de l'Oratoire, l'un des quarante de l'Académie françoise..... CAREME,3;Massillon, Jean-Baptiste (1663-1742);A Paris, rue S. Jacques, chez la veuve Estienne & fils, à la Vertu. Et Jean Herissant, à S. Paul & à S. Hilaire. M. DCC. XLV. Avec approbation & privilege du Roi;1745;"9 t. (4-XXVIII-4-358 ; 4-610-2 ; ... ; 4-578 ; 4-674 ; 4-616 ; 8-536 ; 8-504 ; VI-2-583 p.) ; in-12, Nombre total de vues : 696";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30903295q'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30903295q']'';Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, D-15934 (CAREME,3);Appartient à l’ensemble documentaire : GTextes1, Appartient à l’ensemble documentaire : BnPlCo00, Appartient à l’ensemble documentaire : BnPlCo03, Contient une table des matières, Avec mode texte;bnf.fr;200;20;monographie;98720;04.04.2016 00:00;a046ee10-ccd3-4684-ac83-bec6fe08c9d1;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mercier_Satires contre les astronomes;ark__12148_bpt6k5725055r;https://gallica.bnf.fr/ark:/12148/bpt6k5725055r;Satires contre les astronomes;Mercier, Louis-Sébastien (1740-1814);A Paris, chez Terrelonge, libraire, rue des Petits-Augustins, près le Musée national. An XI - 1803;1803;"22 p. ; in-16, Nombre total de vues : 28";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30928677h;Bibliothèque nationale de France, département Littérature et art, YE-27636;Avec mode texte;bnf.fr;840;80;monographie;91560;21.09.2009 00:00;3f31f447-dac7-46ae-880f-c85a5c4b4d8d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mercier_Tableau de Paris. Tome 2;ark__12148_bpt6k3043407w;https://gallica.bnf.fr/ark:/12148/bpt6k3043407w;Tableau de Paris. Tome 2 ;Mercier, Louis-Sébastien (1740-1814);Virchaux (Hambourg), S. Fauche (Neufchâtel);1781;"2 t. (XIV-300-4, 269 p.) ; in-8, Nombre total de vues : 292";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb43661565c'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12300594h', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb43661565c']'';Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LI3-52 (2);Tableau de Paris (français), Avec mode texte;bnf.fr;390;30;monographie;67330;10.03.2019 00:00;4b934de1-60ea-447e-b93a-893e78b12b2d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mirabeau_La mission secrète de Mirabeau;ark__12148_bpt6k1411997;https://gallica.bnf.fr/ark:/12148/bpt6k1411997;La mission secrète de Mirabeau à Berlin, 1786-1787 : d'après les documents originaux des archives des affaires étrangères ;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791);E. Plon, Nourrit et Cie (Paris);1900;"1 vol. (522 p.) ; in-8, Nombre total de vues : 530";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb340802709;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LG2-120;Appartient à l’ensemble documentaire : MAEDIGen0, Appartient à l’ensemble documentaire : MAEDI010, Appartient à l’ensemble documentaire : MAEDI003, Appartient à l’ensemble documentaire : MAEDI009, Avec mode texte;bnf.fr;940;90;monographie;99820;25.01.2016 00:00;fd8f69a6-6c74-4301-88e2-15b216ec6e29;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mirabeau_Lettres de Mirabeau a Chamfort;ark__12148_bpt6k96088453;https://gallica.bnf.fr/ark:/12148/bpt6k96088453;"Lettres de Mirabeau a Chamfort , imprimées sur les originaux ecrits de la main de Mirabeau, et suivies d'une traduction de la dissertation allemande sur les causes de l'universalité de la langue française, qui a partagé le prix de l'Académie de Berlin ; traduction attribuée à Mirabeau et imprimée sur le manuscrit corrigé de sa main.";Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791);A Paris. Chez le directeur de la Décade philosophique, rue Thérèse, butte des Moulins. An V. de la République française 1796-1797.;1796-1797;"4-142-2 p. ; in-8, Nombre total de vues : 164";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951878b;Bibliothèque nationale de France, département Littérature et art, Z-15457;Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;9500;14.09.2015 00:00;e357d14f-1a57-4a33-aaee-c65d071a28de;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mirabeau_Lettres inédites de Mirabeau .;ark__12148_bpt6k6479429r;https://gallica.bnf.fr/ark:/12148/bpt6k6479429r;Lettres inédites de Mirabeau . Mémoires et extraits de mémoires, écrits en 1781, 1782 et 1783, dans le cours de ses procès de Pontarlier... et de Provence... le tout faisant suite aux Lettres écrites du donjon de Vincennes, depuis 1777 jusqu'à 1780... publié par J.-F. Vitry,...;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791);Lenormant (Paris);1806;"XII-484 p. ; in-8, Nombre total de vues : 504";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951915q;Bibliothèque nationale de France, département Littérature et art, Z-55303;Appartient à l’ensemble documentaire : PACA1, Appartient à l’ensemble documentaire : FrancComt1, Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;99960;21.02.2013 00:00;d86610a1-00de-4ed3-8667-37c1d3758d82;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mirabeau_Sur la liberté de la;ark__12148_bpt6k5832470d;https://gallica.bnf.fr/ark:/12148/bpt6k5832470d;Sur la liberté de la presse, imité de l'anglois de Milton , par le Cte de Mirabeau...;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791);s.n. (Londres);1788;"66 p. ; in-8, Nombre total de vues : 69";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951850z;Bibliothèque nationale de France, département Droit, économie, politique, E*-4880;Avec mode texte;bnf.fr;80;0;monographie;84860;17.05.2010 00:00;9d89ca29-c9ff-4901-9071-1c732f2f2fdb;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mirabeau_Travail sur l'éducation publique, trouvé;ark__12148_bpt6k3043876h;https://gallica.bnf.fr/ark:/12148/bpt6k3043876h;"Travail sur l'éducation publique, trouvé dans les papiers de Mirabeau l'aîné ; publié par P. J. G. Cabanis,...";Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791);Impr. nationale (Paris);1791;"206 p. ; in-8, Nombre total de vues : 206";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951867p;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, R-44018;Avec mode texte;bnf.fr;370;30;monographie;87770;17.03.2019 00:00;8eb1dc3b-39b4-497e-94bd-810ef8caded9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Molière (1622-1673)_Oeuvres complètes de Molière :;ark__12148_bpt6k5720917m;https://gallica.bnf.fr/ark:/12148/bpt6k5720917m;Oeuvres complètes de Molière : accompagnées de notes tirées de tous les commentateurs avec de remarques nouvelles (Nouvelle édition) ;Molière (1622-1673), Voltaire (1694-1778), La Harpe, Jean François de (1739-1803), Auger, Louis-Simon (1772-1829);Garnier frères (Paris);1884;"3 vol. (XXXVI-496, 557, 502 p.) ; 19 cm, Nombre total de vues : 510";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb40142201v;Bibliothèque nationale de France, département Littérature et art, 8-YF-144 (3);"Comprend : Vie de Molière ; Molière et la comédie ; Extraits du Discours sur la comédie, Contient une table des matières, Avec mode texte";bnf.fr;800;80;monographie;99980;05.10.2009 00:00;09a0d0db-b4f9-4d3f-943a-b9fca6456dc0;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Montesquieu (1689-1755)_Lettres persanes, de Montesquieu, précédées;ark__12148_bpt6k6334100b;https://gallica.bnf.fr/ark:/12148/bpt6k6334100b;Lettres persanes, de Montesquieu, précédées de son Éloge, par d'Alembert;Montesquieu (1689-1755), Alembert, D (1717-1783)];(Paris);1828;In-8° , XXXIX-411 p., Nombre total de vues : 474;français;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119437548', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb309704323'];Bibliothèque nationale de France, département Littérature et art, Z-15251;Lettres persanes (français), Comprend : Éloge de Montesquieu, Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;99960;24.10.2012 00:00;a2ced414-7bca-4c97-a688-9f2c5ca1325c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Montvaillant_Florian : sa vie, ses;ark__12148_bpt6k6493553f;https://gallica.bnf.fr/ark:/12148/bpt6k6493553f;Florian : sa vie, ses oeuvres, sa correspondance ;Montvaillant, Albin de (1830-1895);E. Dentu (Paris);1879;"1 vol. (228 p.) : portraits ; in-8, Nombre total de vues : 254";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30973844x;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-31142;Contient une table des matières, Avec mode texte;bnf.fr;920;90;monographie;99960;13.05.2013 00:00;440903d9-ef98-4598-98b4-1e0b115db81f;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Necker_Nouveaux mélanges extraits des manuscrits;ark__12148_bd6t53773653;https://gallica.bnf.fr/ark:/12148/bd6t53773653;Nouveaux mélanges extraits des manuscrits de M.me Necker. Tome 1 ;Necker, Suzanne (1737-1794);Paris, Charles Pougens, imprimeur-libraire, quai Voltaire, N.° 10. Genets, libraire, rue Thionville, N.° 5. An X. - 1801;1801;"2 vol. (3-1 bl.-XVIII-341-1-1 bl. p., 3-1 bl.-318-1 p., portrait gr. sur cuivre en regard du titre) ; in-8, Nombre total de vues : 362";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31007398k'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31007398k']'';Bibliothèque nationale de France, département Littérature et art, Z-56076;Avec mode texte;bnf.fr;890;80;monographie;87780;01.07.2022 00:00;da695f60-133c-40b0-8ba7-b3cbedda2fbc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
