Dateiname;Ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
About_Le roman d'un brave homme;ark__12148_bpt6k5796701v;https://gallica.bnf.fr/ark:/12148/bpt6k5796701v;Le roman d'un brave homme ;About, Edmond (1828-1885);Paris;1882;"V-323 p. : fig., pl. ; Gr. in-8°, Nombre total de vues : 338";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013938;Bibliothèque nationale de France, département Littérature et art, 4-Y2-746;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;93940;05.09.2010 22:00;b4859948-3102-43f5-85db-0cfc509219bc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_L'infâme (3e édition);ark__12148_bpt6k6551199k;https://gallica.bnf.fr/ark:/12148/bpt6k6551199k;L'infâme (3e édition) ;About, Edmond (1828-1885);Hachette (Paris);1880;"1 vol. (291 p.) ; in-16, Nombre total de vues : 308";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300012841;Bibliothèque nationale de France, département Littérature et art, 8-Y2-4133;Avec mode texte;bnf.fr;840;80;monographie;99930;03.11.2013 23:00;35016c58-6e11-466c-91cc-bea634179ea1;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Les mariages de Paris;ark__12148_bpt6k6362284k;https://gallica.bnf.fr/ark:/12148/bpt6k6362284k;Les mariages de Paris ;About, Edmond (1828-1885);Hachette et Cie (Paris);1856;"1 vol (II-411 p.) ; in-16, Nombre total de vues : 424";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001312f;Bibliothèque nationale de France, département Littérature et art, Y2-12683;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99960;28.10.2012 23:00;18f713ff-65c2-48bf-8414-400e2d3ea398;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Le fellah : souvenirs d'Égypte;ark__12148_bpt6k62077112;https://gallica.bnf.fr/ark:/12148/bpt6k62077112;Le fellah : souvenirs d'Égypte ;About, Edmond (1828-1885);L. Hachette et Cie (Paris);1869;"1 vol. (411 p.) ; in-8, Nombre total de vues : 440";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001240d;Bibliothèque nationale de France;Avec mode texte;bnf.fr;960;90;monographie;99930;22.02.2012 23:00;3ef77bd4-b6a1-4333-8c2c-2e541df50f8a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Maître Pierre (12e éd.);ark__12148_bpt6k658714;https://gallica.bnf.fr/ark:/12148/bpt6k658714;Maître Pierre (12e éd.) ;About, Edmond (1828-1885);Paris;1900;"307 p. ; in-16, Nombre total de vues : 321";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31696558j;Bibliothèque nationale de France, département Littérature et art, 8-Y2-20060;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières;bnf.fr;840;80;monographie;90160;14.10.2007 22:00;a11f7dfc-5386-4298-ae5d-1efc7d753f52;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_ABC du travailleur (5e édition);ark__12148_bpt6k55028277;https://gallica.bnf.fr/ark:/12148/bpt6k55028277;ABC du travailleur (5e édition) ;About, Edmond (1828-1885);Hachette (Paris);1888;"1 vol. (315 p.) ; in-16, Nombre total de vues : 328";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001220s;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-9008;Contient une table des matières, Avec mode texte;bnf.fr;300;30;monographie;97460;16.03.2009 23:00;1474a7e9-9837-4fd7-b0fd-57379fa059ae;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Le progrès;ark__12148_bpt6k2031910;https://gallica.bnf.fr/ark:/12148/bpt6k2031910;Le progrès ;About, Edmond (1828-1885);Paris;1864;489 p., Nombre total de vues : 494;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013531;Bibliothèque nationale de France;;bnf.fr;9440;90;monographie;97950;14.10.2007 22:00;cf542b93-3b75-44ce-a070-8ccb077a4786;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_L'homme à l'oreille cassée (3e;ark__12148_bpt6k65118490;https://gallica.bnf.fr/ark:/12148/bpt6k65118490;L'homme à l'oreille cassée (3e éd.) ;About, Edmond (1828-1885);L. Hachette (Paris);1862;"1 vol. (277-12 p.) ; in-16, Nombre total de vues : 310, application/epub+zip";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001274q;Bibliothèque nationale de France, département Littérature et art, Y2-12664;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99990;30.07.2013 22:00;11428f13-2e47-43e8-bbbb-bd3c08826f35;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Le roi des montagnes;ark__12148_bpt6k6122842q;https://gallica.bnf.fr/ark:/12148/bpt6k6122842q;Le roi des montagnes ;About, Edmond (1828-1885);Hachette (Paris);1857;In-16, Nombre total de vues : 314, application/epub+zip;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001370m;Bibliothèque nationale de France, département Littérature et art, Y2-12704;Appartient à l’ensemble documentaire : UnivJeun0, Avec mode texte;bnf.fr;800;80;monographie;99980;18.10.2010 22:00;accf590a-4c45-4c6b-9808-e3e8afb72ebc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Abrantès_La duchesse de Vallombray. Tome;ark__12148_bpt6k42263081;https://gallica.bnf.fr/ark:/12148/bpt6k42263081;La duchesse de Vallombray. Tome 1 ;"Abrantès, Laure Junot (1784-1838 ; duchesse de )";Paris;1838;"2 vol. (4-430, 4-338 p.) ; in-8, Nombre total de vues : 440";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30001716x, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001716x;Bibliothèque nationale de France, département Littérature et art, Y2-12752;Avec mode texte;bnf.fr;840;80;monographie;88480;27.01.2020 23:00;35c5d37c-3224-4a32-931c-ba82fd59f11b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Les Peaux-rouges de Paris. 1;ark__12148_bpt6k82311k;https://gallica.bnf.fr/ark:/12148/bpt6k82311k;Les Peaux-rouges de Paris. 1 ;Aimard, Gustave (1818-1883);É. Dentu (Paris);1888-1889;"3 vol. ; in-18, Nombre total de vues : 420";fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30006224c, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006224c;Bibliothèque nationale de France, département Littérature et art, 10655;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières;bnf.fr;840;80;monographie;93050;14.10.2007 22:00;5b37b538-1037-4bf9-8eff-509138925857;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Le forestier;ark__12148_bpt6k550037;https://gallica.bnf.fr/ark:/12148/bpt6k550037;Le forestier ;Aimard, Gustave (1818-1883);[s.n.];18..;"[211 p.] ; gr. in-8, Nombre total de vues : 211";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006167c;Bibliothèque nationale de France, département Littérature et art, 4-Y2-8665;Appartient à l’ensemble documentaire : UnivJeun0;bnf.fr;840;80;monographie;9370;14.10.2007 22:00;afb615c9-3beb-46e8-b8ed-8691edf9ef57;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Les mariages de province (6e;ark__12148_bpt6k9602426h;https://gallica.bnf.fr/ark:/12148/bpt6k9602426h;Les mariages de province (6e édition) ;About, Edmond (1828-1885);Hachette et Cie (Paris);1883;"1 vol. (335 p.) ; in-16, Nombre total de vues : 354";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013353;Bibliothèque nationale de France, département Littérature et art, 8-Y2-15015;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99290;14.06.2015 22:00;b292237e-e0a7-4692-8d87-546a64b43a17;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Abrantès_Souvenirs d'une ambassade et d'un;ark__12148_bpt6k65670326;https://gallica.bnf.fr/ark:/12148/bpt6k65670326;Souvenirs d'une ambassade et d'un séjour en Espagne et en Portugal, de 1808 à 1811. Volume 1 ;"Abrantès, Laure Junot (1784-1838 ; duchesse de )";Ollivier (Paris);1837;"2 vol. (338, 384 p.) ; in-8, Nombre total de vues : 360";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30001739k, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001739k;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, G-18033;Contient une table des matières, Avec mode texte;bnf.fr;940;90;monographie;99930;15.12.2013 23:00;ffd228f1-beef-4af8-8529-31a940f1dc7c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_La grande Flibuste;ark__12148_bpt6k61491792;https://gallica.bnf.fr/ark:/12148/bpt6k61491792;La grande Flibuste ;Aimard, Gustave (1818-1883);''aux bureaux de la ''''Patrie'''' (Paris)'';1860;"1 vol. (350 p.) ; gr. in-8, Nombre total de vues : 364";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006181x;Bibliothèque nationale de France, département Littérature et art, Y2-549;Appartient à l’ensemble documentaire : UnivJeun0, Avec mode texte;bnf.fr;840;80;monographie;96550;24.10.2010 22:00;0ff69a52-e363-4712-9b10-4ff2e67d5288;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Le batteur de sentiers :;ark__12148_bpt6k56847981;https://gallica.bnf.fr/ark:/12148/bpt6k56847981;Le batteur de sentiers : Sacramenta ;Aimard, Gustave (1818-1883);Paris;1884;"1 vol. (87 p.) : fig. ; in-4, Nombre total de vues : 102";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006099q;Bibliothèque nationale de France, département Littérature et art, 4-Y2-906;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;96220;17.01.2010 23:00;6ac59d98-c8fb-4dad-b4dd-aafc0af2f97e;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Les bisons blancs;ark__12148_bpt6k64785981;https://gallica.bnf.fr/ark:/12148/bpt6k64785981;Les bisons blancs ;Aimard, Gustave (1818-1883);É. Dentu (Paris);1876;"1 vol. (331 p.) ; in-18, Nombre total de vues : 352";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006102s;Bibliothèque nationale de France, département Littérature et art, 8-Y2-319;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99990;11.03.2013 23:00;a84fc083-b6a8-4872-8875-766fe167476c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Dernières lettres d'un bon jeune;ark__12148_bpt6k6439720z;https://gallica.bnf.fr/ark:/12148/bpt6k6439720z;Dernières lettres d'un bon jeune homme à sa cousine Madeleine ;About, Edmond (1828-1885);Michel Lévy frères (Paris);1863;"1 vol. (378 p.) ; in-12, Nombre total de vues : 394";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb316965545;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-6075;Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;99960;16.12.2012 23:00;a237787a-3f01-49a7-92e2-770a22fff1df;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Par mer et par terre.;ark__12148_bpt6k963661;https://gallica.bnf.fr/ark:/12148/bpt6k963661;Par mer et par terre. Le bâtard ;Aimard, Gustave (1818-1883);Paris;1879;"2 vol. (364, 384 p.) ; in-18";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30006221b, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006221b;Bibliothèque nationale de France, département Littérature et art, 8-Y2-3083 (2);Appartient à l’ensemble documentaire : UnivJeun0;bnf.fr;840;80;monographie;96010;14.10.2007 22:00;e3e4b1de-1b28-43da-8bd6-bc8e9c00de95;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_La guerilla fantôme;ark__12148_bpt6k55414497;https://gallica.bnf.fr/ark:/12148/bpt6k55414497;La guerilla fantôme ;Aimard, Gustave (1818-1883);Paris;1884;"1 vol. (94 p.) ; in-4, Nombre total de vues : 96";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006190w;Bibliothèque nationale de France, département Littérature et art, 4-Y2-902;Appartient à l’ensemble documentaire : UnivJeun0, Avec mode texte;bnf.fr;840;80;monographie;93640;17.05.2009 22:00;dd074281-e07e-4904-b4f2-8321f02f1965;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Germaine (Nouv. éd.);ark__12148_bpt6k807476;https://gallica.bnf.fr/ark:/12148/bpt6k807476;Germaine (Nouv. éd.) ;About, Edmond (1828-1885);Paris;1925;"314 p. ; 19 cm, Nombre total de vues : 322";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb316965278;Bibliothèque nationale de France, département Littérature et art, 8-Y2-69654;Collection : Collection choisie, Collection : Collection choisie, Appartient à l’ensemble documentaire : UnivJeun0;bnf.fr;840;80;monographie;83570;14.10.2007 22:00;43828ac5-cf29-4448-b384-27eae7fc92c7;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Le chercheur de pistes;ark__12148_bpt6k5715461k;https://gallica.bnf.fr/ark:/12148/bpt6k5715461k;Le chercheur de pistes ;Aimard, Gustave (1818-1883);Paris;1890;"1 vol. (280 p.) : ill. ; in-4, Nombre total de vues : 296";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300061212;Bibliothèque nationale de France, département Littérature et art, 4-Y2-1748;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;96280;14.09.2009 22:00;e7b9ed0e-c685-41b1-aeee-2819d3ee525c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Zéno Cabral;ark__12148_bpt6k57728927;https://gallica.bnf.fr/ark:/12148/bpt6k57728927;Zéno Cabral ;Aimard, Gustave (1818-1883);impr. de Schiller (Paris);1864;"1 vol. (143 p.) ; in-4, Nombre total de vues : 147";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30006271w;Bibliothèque nationale de France, département Littérature et art, Y2-554;Appartient à l’ensemble documentaire : UnivJeun0, Avec mode texte;bnf.fr;840;80;monographie;86130;11.01.2010 23:00;6644b783-6f9f-473e-a091-731c5c6f3d3d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Aimard_Les Gambucinos;ark__12148_bpt6k5576779s;https://gallica.bnf.fr/ark:/12148/bpt6k5576779s;Les Gambucinos ;Aimard, Gustave (1818-1883);Paris;1884;"1 vol. (101 p.) ; in-4, Nombre total de vues : 109";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300061750;Bibliothèque nationale de France, département Littérature et art, 4-Y2-923;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;96920;07.06.2009 22:00;9d5932b4-41fb-4ffc-9a70-72acb73c1f3d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Allais_Rose et vert-pomme : (oeuvres;ark__12148_bpt6k113290z;https://gallica.bnf.fr/ark:/12148/bpt6k113290z;Rose et vert-pomme : (oeuvres anthumes) ;Allais, Alphonse (1854-1905);Paris;1894;"1 vol. (330 p.) ; in-18, Nombre total de vues : 337";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30010869r;Bibliothèque nationale de France, département Littérature et art, 8-Y2-48900;Avec mode texte;bnf.fr;840;80;monographie;94920;11.03.2008 23:00;6df0d293-e36b-4abf-a02b-cfef5de671cd;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Allais_Ne nous frappons pas;ark__12148_bpt6k113286w;https://gallica.bnf.fr/ark:/12148/bpt6k113286w;Ne nous frappons pas ;Allais, Alphonse (1854-1905);Paris;1900;"1 vol. (335 p.) ; in-18, Nombre total de vues : 342";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317112748;Bibliothèque nationale de France, département Littérature et art, 8-Y2-52208;;bnf.fr;840;80;monographie;5710;11.03.2008 23:00;7be696e4-cf85-44de-a653-844df3fb29d3;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
"Alexis_Trente romans ; Le coeur";ark__12148_bpt6k82608h;https://gallica.bnf.fr/ark:/12148/bpt6k82608h;"Trente romans ; Le coeur ; La chair ; L'esprit ";Alexis, Paul (1847-1901);G. Charpentier et E. Fasquelle (Paris);1895;"332 p. ; in-12, Nombre total de vues : 342";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30009998k;Bibliothèque nationale de France, département Littérature et art, 8-Y2-49138;Contient une table des matières;bnf.fr;840;80;monographie;0;14.10.2007 22:00;b1559310-1d60-475f-988c-592e92f25ecf;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Allais_Deux et deux font cinq;ark__12148_bpt6k913257;https://gallica.bnf.fr/ark:/12148/bpt6k913257;Deux et deux font cinq (2 + 2 = 5) : (oeuvres anthumes) ;Allais, Alphonse (1854-1905);Paris;1895;"1 vol. (343 p.) ; in-18, Nombre total de vues : 352";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300108641;Bibliothèque nationale de France, département Littérature et art, 8-Y2-49605;Contient une table des matières;bnf.fr;840;80;monographie;92890;14.10.2007 22:00;aa6dd3d5-589b-4b48-b57f-1dc7cc69e3a5;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Amiel_Fragments d'un journal intime_T1;ark__12148_bpt6k30709597;https://gallica.bnf.fr/ark:/12148/bpt6k30709597;Fragments d'un journal intime. Tome 1 ;Amiel, Henri-Frédéric (1821-1881);['Editions Georg et Cie (Genève)', 'Editions G. Crès et Cie (Paris)'];1922;"3 vol. (LXI-336, 342, 463 p.) : ill. ; in-8, Nombre total de vues : 429";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31717090d, Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb13507206r, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31717090d;Bibliothèque nationale de France;Journal intime (français). Extrait, Collection : Collection helvétique, Collection : Collection helvétique, Avec mode texte;bnf.fr;840;80;monographie;89020;09.09.2019 22:00;c2ad1650-44f9-4f75-b657-cf7676cb4916;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ancelot_Un noeud de ruban;ark__12148_bpt6k4226326z;https://gallica.bnf.fr/ark:/12148/bpt6k4226326z;Un noeud de ruban ;Ancelot, Virginie (1792-1875);Paris;1864;"1 vol. (321 p.) ; in-18, Nombre total de vues : 328";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300180653;Bibliothèque nationale de France, département Littérature et art, Y2-13921;Avec mode texte;bnf.fr;840;80;monographie;88910;27.01.2020 23:00;37458762-7855-404f-8f07-3522e52e7910;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Alexis_Madame Meuriot : moeurs parisiennes;ark__12148_bpt6k68786m;https://gallica.bnf.fr/ark:/12148/bpt6k68786m;Madame Meuriot : moeurs parisiennes ;Alexis, Paul (1847-1901);Paris;1891;"462 p. ; in-12, Nombre total de vues : 472";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30009995j;Bibliothèque nationale de France, département Littérature et art, 8-Y2-44381;Appartient à l’ensemble documentaire : Pam1;bnf.fr;840;80;monographie;95860;14.10.2007 22:00;465ffaee-e622-4f3e-9c1b-ece414329b5b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ancelot_Émerance, par Mme Ancelot, ....;ark__12148_bpt6k4226760c;https://gallica.bnf.fr/ark:/12148/bpt6k4226760c;Émerance, par Mme Ancelot, .... Tome 1;Ancelot, Virginie (1792-1875);Paris;1842;2 vol. in-8°, Nombre total de vues : 322;['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb300180146, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300180146;Bibliothèque nationale de France, département Littérature et art, Y2-13895;Avec mode texte;bnf.fr;800;80;monographie;88410;02.05.2020 22:00;487e7070-69e0-444b-b2ef-572505d800b0;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Amiel_Fragments d'un journal intime_T2;ark__12148_bpt6k9789957d;https://gallica.bnf.fr/ark:/12148/bpt6k9789957d;Fragments d'un journal intime. Tome 2 ;Amiel, Henri-Frédéric (1821-1881);Paris;1927;"2 vol. (XLVIII-319, 365 p.) ; in-8, Nombre total de vues : 390";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31717091r, Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb13507206r, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31717091r;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-22930 (2);Journal intime (français). Extrait, Appartient à l’ensemble documentaire : RfnEns0, Appartient à l’ensemble documentaire : RfnEuro1, Appartient à l’ensemble documentaire : RfnLang1, Avec mode texte;bnf.fr;940;90;monographie;99020;06.08.2017 22:00;f5b9fba3-6aec-4f85-b4e9-bb0694b87ffb;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Allais_A se tordre : histoires;ark__12148_bpt6k691250;https://gallica.bnf.fr/ark:/12148/bpt6k691250;A se tordre : histoires chatnoiresques ;Allais, Alphonse (1854-1905);Paris;1891;"1 vol. (303 p.) ; in-18, Nombre total de vues : 311";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30010860n, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30010860n;Bibliothèque nationale de France, département Littérature et art, 8-Y2-45112;Appartient à l’ensemble documentaire : GTextes1, Contient une table des matières;bnf.fr;840;80;monographie;86480;14.10.2007 22:00;e8d58c48-3408-465b-a44c-c4d980942d49;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Anquetil_Histoire de France;ark__12148_bpt6k6543699n;https://gallica.bnf.fr/ark:/12148/bpt6k6543699n;Histoire de France depuis les temps les plus reculés jusqu'à la révolution de 1789 ;Anquetil, Louis-Pierre (1723-1806), Lacroix, Paul (1806-1884);Paris;1861;"6 vol. : ill. ; gr. in-8, Nombre total de vues : 1066, application/epub+zip 3.0 accessible, Format adaptable de type XML DTBook, 2005-3";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb46759279j;Les amis de Montmélian et de ses environs, 2013-153975;Contient une table des matières, Avec mode texte;bnf.fr;9440;90;monographie;99960;25.08.2013 22:00;60ba1532-f76d-4445-8ff0-cf62aa85b575;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Madelon (7e édition);ark__12148_bpt6k6489453p;https://gallica.bnf.fr/ark:/12148/bpt6k6489453p;Madelon (7e édition) ;About, Edmond (1828-1885);Hachette et Cie (Paris);1877;"1 vol. (562 p.) ; in-16, Nombre total de vues : 584";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013024;Bibliothèque nationale de France, département Littérature et art, 8-Y2-667;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99960;28.04.2013 22:00;735e0b79-ad2f-4dd3-923d-b4b509adf026;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ancelot_Antonia Vernon, ou Les jeunes;ark__12148_bd6t5369459w;https://gallica.bnf.fr/ark:/12148/bd6t5369459w;Antonia Vernon, ou Les jeunes filles pauvres ;Ancelot, Virginie (1792-1875);Hachette et Cie (Paris);1863;"1 vol. (306 p.) ; in-16, Nombre total de vues : 324";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30018006k;Bibliothèque nationale de France, département Littérature et art, Y2-13892;Avec mode texte;bnf.fr;840;80;monographie;8940;18.12.2021 23:00;e8a40152-9390-46c1-8e50-4181d53a2bfa;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Anquetil_Histoire de France_T6;ark__12148_bpt6k65394984;https://gallica.bnf.fr/ark:/12148/bpt6k65394984;Histoire de France depuis les temps les plus reculés jusqu'à la révolution de 1789. Tome 6 ;Anquetil, Louis-Pierre (1723-1806), Lacroix, Paul (1806-1884);Dufour, Boulanger et Legrand (Paris);1862;"6 vol. : pl. ; gr. in-8, Nombre total de vues : 572";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30711345t, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30711345t;Les amis de Montmélian et de ses environs, 2013-151406;Contient une table des matières, Avec mode texte;bnf.fr;9440;90;monographie;99720;25.08.2013 22:00;a0e5cd00-43c0-463b-a369-758b8376a255;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
