Dateiname;Ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Féval_Alizia Pauli, par Paul Féval;ark__12148_bpt6k5781117t;https://gallica.bnf.fr/ark:/12148/bpt6k5781117t;Alizia Pauli, par Paul Féval;Féval, Paul (1816-1887);Paris;1852;Gr. in-8° , 80 p., fig., Nombre total de vues : 82;fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30433007t;Bibliothèque nationale de France, département Littérature et art, 4-Y2-1546;Avec mode texte;bnf.fr;840;80;monographie;8620;29.11.2009 23:00;0c2c8992-c734-417d-a4d6-fb9e75602a23;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ivoi_Voyages excentriques. Le docteur Mystère;ark__12148_bpt6k61575637;https://gallica.bnf.fr/ark:/12148/bpt6k61575637;Voyages excentriques. Le docteur Mystère ;Ivoi, Paul de (1856-1915);Paris;1900;Gr. in-8° , 454 p., fig. et pl. de L. Bombled, Nombre total de vues : 490;fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30317177n;Bibliothèque nationale de France, département Littérature et art, 4-Y2-5707;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;910;90;monographie;97520;13.02.2011 23:00;1d245ecd-ee06-4001-b179-efd7edd7b037;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Flaubert_Trois contes. Un coeur simple.;ark__12148_btv1b86261558;https://gallica.bnf.fr/ark:/12148/btv1b86261558;Trois contes. Un coeur simple. La Légende de saint Julien l'Hospitalier. Hérodias ;Flaubert, Gustave (1821-1880);G. Charpentier (Paris);1877;In-12, 249 p., Nombre total de vues : 271;['fre', 'français'];Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb120628591', Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30440416c;Bibliothèque nationale de France, département Réserve des livres rares, RESP-Y2-1443;Trois contes (français), Avec mode texte;bnf.fr;;;monographie;9990;22.02.2012 23:00;2c45a6bd-5b4b-4524-be80-693e90ea8cf6;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Hugo_Oeuvres complètes_Poésie;ark__12148_bpt6k37485k;https://gallica.bnf.fr/ark:/12148/bpt6k37485k;Oeuvres complètes de Victor Hugo. Poésie 14;Hugo, Victor (1802-1885);''['J. Hetzel (Paris)', 'A. Quantin (Paris)', ''''[puis] Société d'éditions littéraires et artistiques (Paris)'''', 'Albin Michel (Paris)']'';1880-1926;"48 vol. ; in-8";fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb373094302, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb373094302;Bibliothèque nationale de France;Appartient à l’ensemble documentaire : GTextes1;bnf.fr;840;80;monographie;97410;14.10.2007 22:00;db14038a-8407-49a1-8e05-e18fe33083ec;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Flaubert_Madame Bovary : moeurs de;ark__12148_bpt6k9770125m;https://gallica.bnf.fr/ark:/12148/bpt6k9770125m;Madame Bovary : moeurs de province (Édition définitive suivie des réquisitoire, plaidoirie et jugement du procès intenté à l'auteur devant le tribunal correctionnel de Paris) ;Flaubert, Gustave (1821-1880);Fasquelle (Paris);1936;"1 vol. (461 p.) : pl. et portrait hors texte, couv. ill. ; in-16, Nombre total de vues : 519";['fre', 'français'];Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb11938746n', Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32110212k;Bibliothèque nationale de France, département Littérature et art, 8-Y2-83130;Madame Bovary (français), Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;9850;26.03.2017 22:00;50c906d7-6833-470c-9aab-7537cf38fd75;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Lorrain_Hélie, garçon d'hôtel;ark__12148_bpt6k763193;https://gallica.bnf.fr/ark:/12148/bpt6k763193;Hélie, garçon d'hôtel ;Lorrain, Jean (1855-1906);Paris;1908;"1 vol. (255 p.) ; in-18, Nombre total de vues : 260";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb303907778;Bibliothèque nationale de France, département Littérature et art, 8-Y2-56779;;bnf.fr;840;80;monographie;0;14.10.2007 22:00;2c2591c4-43f1-4542-aaab-e6dcec9cfe9a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Girardin_Lettres parisiennes;ark__12148_bpt6k6378135w;https://gallica.bnf.fr/ark:/12148/bpt6k6378135w;Lettres parisiennes ;Girardin, Delphine de (1804-1855);Charpentier (Paris);1843;"1 vol. (432 p.) ; in-18, Nombre total de vues : 450, application/epub+zip 3.0 accessible, Format adaptable de type XML DTBook, 2005-3";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb305105971;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-3251;Contient une table des matières, Avec mode texte;bnf.fr;9440;90;monographie;99960;23.12.2012 23:00;f550ae18-5ca9-4e07-9b35-48621f454b06;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Chateaubriand_Sublimités de Chateaubriand;ark__12148_bpt6k5815152t;https://gallica.bnf.fr/ark:/12148/bpt6k5815152t;Sublimités de Chateaubriand ;Chateaubriand, François-René de (1768-1848);V. Lecou (Paris);1854;"399 p. : front. ; gr. in-8°, Nombre total de vues : 430";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30227622s;Bibliothèque nationale de France, département Littérature et art, Z-5569;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99980;21.03.2010 23:00;a2ea37a0-c806-4d44-a8fa-c6a75664b9ea;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Lorrain_Les Lépillier;ark__12148_bpt6k64501w;https://gallica.bnf.fr/ark:/12148/bpt6k64501w;Les Lépillier ;Lorrain, Jean (1855-1906);Paris;1885;"1 vol. (305 p.) ; in-18, Nombre total de vues : 312";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb303907836;Bibliothèque nationale de France, département Littérature et art, 8-Y2-9954;Contient une table des matières;bnf.fr;840;80;monographie;95960;14.10.2007 22:00;d031a8f4-c906-4b7c-a242-67a0e621ef7d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Flaubert_Bouvard et Pécuchet : oeuvre;ark__12148_bpt6k62126049;https://gallica.bnf.fr/ark:/12148/bpt6k62126049;Bouvard et Pécuchet : oeuvre posthume ;Flaubert, Gustave (1821-1880);A. Lemerre (Paris);1881;"1 vol. (400 p.) ; in-16, Nombre total de vues : 420, application/epub+zip 3.0 accessible, Format adaptable de type XML DTBook, 2005-3";['fre', 'français'];Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb11941460w', Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32110099x;Bibliothèque nationale de France, département Littérature et art, 8-Y2-25084;Bouvard et Pécuchet (français), Avec mode texte;bnf.fr;840;80;monographie;99930;16.12.2012 23:00;f897f14f-cf55-42d1-b972-8d862bf9ef39;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Goncourt_Idées & sensations;ark__12148_bpt6k9750582g;https://gallica.bnf.fr/ark:/12148/bpt6k9750582g;Idées & sensations ;Goncourt, Edmond de (1822-1896), Goncourt, Jules de (1830-1870);Librairie internationale A. Lacroix-Verboeckhoven et Cie (Paris);1866;"1 vol. (255 p.) ; in-8, Nombre total de vues : 282";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb305212411;Bibliothèque nationale de France, département Littérature et art, Z-49826;Avec mode texte;bnf.fr;800;80;monographie;98920;09.10.2016 22:00;67a64104-d832-408e-b029-d149855019ae;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Lorrain_Du temps que les bêtes;ark__12148_bpt6k4220078s;https://gallica.bnf.fr/ark:/12148/bpt6k4220078s;Du temps que les bêtes parlaient : portraits littéraires et mondains ;Lorrain, Jean (1855-1906);''Éditions du ''''Courrier français'''' (Paris)'';;"1 vol. (XIII-272 p.) : couv. ill. ; in-16, Nombre total de vues : 312";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb320655819;Bibliothèque nationale de France, département Littérature et art, 16-Z-3674;Avec mode texte;bnf.fr;840;80;monographie;89010;16.10.2019 22:00;334d5b92-3079-4d03-ae97-9c1e72e87fb5;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ivoi_Cigale en Chine : voyages;ark__12148_bpt6k6566560x;https://gallica.bnf.fr/ark:/12148/bpt6k6566560x;Cigale en Chine : voyages excentriques ;Ivoi, Paul de (1856-1915);Paris;1901;"1 vol. (462 p.) : fig., pl., plan ; in-4, Nombre total de vues : 490, application/epub+zip";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb303171660;Ville de Paris / Fonds Heure joyeuse, 2013-372319;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99990;15.12.2013 23:00;6e46ab3f-0b96-4034-96f2-b10460c9a498;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Flaubert_La tentation de saint Antoine;ark__12148_btv1b8617216j;https://gallica.bnf.fr/ark:/12148/btv1b8617216j;La tentation de saint Antoine ;Flaubert, Gustave (1821-1880);Paris;1874;"[2]-296 p. ; 25 cm, Nombre total de vues : 327";fre;Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119388598', Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb330074686;Bibliothèque nationale de France, département Réserve des livres rares, RESM-Y2-954;La tentation de saint Antoine (français), Appartient à l’ensemble documentaire : GTextes1, Avec mode texte;bnf.fr;;;monographie;99940;26.06.2011 22:00;c1cfa48f-bed1-47cc-a759-8c5be463ccd8;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Goncourt_L'art du dix-huitième siècle. Watteau.;ark__12148_bpt6k1178788;https://gallica.bnf.fr/ark:/12148/bpt6k1178788;L'art du dix-huitième siècle. Watteau. Chardin. Boucher. Latour. Greuze. Les Saint-Aubin ;Goncourt, Edmond de (1822-1896), Goncourt, Jules de (1830-1870);Rapilly (Paris);1873-1874;"2 vol. ; in-8, Nombre total de vues : 538";fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30521245d, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30521245d;Bibliothèque nationale de France, département Littérature et art, V-40451;Appartient à l’ensemble documentaire : GTextes1, Avec mode texte;bnf.fr;700;70;monographie;93440;30.07.2008 22:00;ba3560e1-73e1-4198-b07d-365e309e38cc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ivoi_Les voleurs de foudre;ark__12148_bpt6k57478971;https://gallica.bnf.fr/ark:/12148/bpt6k57478971;Les voleurs de foudre ;Ivoi, Paul de (1856-1915);Paris;1912;"1 vol. (460 p.) : ill. ; gr. in-8, Nombre total de vues : 489";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb320106951;Bibliothèque nationale de France, département Littérature et art, 4-Y2-6276;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;97540;15.11.2009 23:00;4d4dea4f-d5b1-4a93-9032-0caa9088c30c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Lecerf_La Science et la raison;ark__12148_bpt6k5727387c;https://gallica.bnf.fr/ark:/12148/bpt6k5727387c;La Science et la raison humaine, en présence des maux et des dangers qui menacent l'ordre social, par M. Lecerf, ...;Lecerf, Pierre-Louis;impr. de Delos (Caen);1851;In-8° , 100 p., Nombre total de vues : 102;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30764256z;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB55-2915;Avec mode texte;bnf.fr;300;30;monographie;99980;30.09.2009 22:00;262ea2d2-242b-402e-a2a0-7bc3ab1e8907;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
