Dateiname	ark	dc:identifier	dc:title	dc:creator	dc:publisher	dc:date	dc:format	dc:language	dc:relation	dc:source	dc:description	provenance	sdewey	dewey	typedoc	nqamoyen	first_indexation_date	Pfad	GUID
Mercier_Satires contre les astronomes	ark__12148_bpt6k5725055r	https://gallica.bnf.fr/ark:/12148/bpt6k5725055r	Satires contre les astronomes	Mercier, Louis-Sébastien (1740-1814)	A Paris, chez Terrelonge, libraire, rue des Petits-Augustins, près le Musée national. An XI - 1803	1803	22 p. ; in-16, Nombre total de vues : 28	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30928677h	Bibliothèque nationale de France, département Littérature et art, YE-27636	Avec mode texte	bnf.fr	84.0	8.0	monographie	9156.0	2009-09-20T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5725055r.html	3f31f447-dac7-46ae-880f-c85a5c4b4d8d
Genlis_Les soupers de la maréchale	ark__12148_bpt6k3044350v	https://gallica.bnf.fr/ark:/12148/bpt6k3044350v	Les soupers de la maréchale de Luxembourg . Dédiés a Mr. le vicomte de Larochefoucauld, par Mme la comtesse de Genlis.	Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830)	Roux, libraire, Palais-Royal,... (Paris), et chez Ponthieu,... (Arthus-Bertrand,...), Delaunay,... (), Lecointe et Durey,... ()	1828	VIII-511-1 p. ; in-8, Nombre total de vues : 532	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30495693m	Bibliothèque nationale de France, département Littérature et art, Z-49474	Avec mode texte	bnf.fr	80.0	8.0	monographie	8779.0	2019-03-24T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k3044350v.html	aeaac932-aa7b-47ac-b6c7-5b34e8982b67
Mercier_Tableau de Paris. Tome 2	ark__12148_bpt6k3043407w	https://gallica.bnf.fr/ark:/12148/bpt6k3043407w	Tableau de Paris. Tome 2 	Mercier, Louis-Sébastien (1740-1814)	Virchaux (Hambourg), S. Fauche (Neufchâtel)	1781	2 t. (XIV-300-4, 269 p.) ; in-8, Nombre total de vues : 292	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb43661565c'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12300594h', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb43661565c']''	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LI3-52 (2)	Tableau de Paris (français), Avec mode texte	bnf.fr	39.0	3.0	monographie	6733.0	2019-03-09T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k3043407w.html	4b934de1-60ea-447e-b93a-893e78b12b2d
Massillon_Petit carême de M. Massillon,	ark__12148_bpt6k97432875	https://gallica.bnf.fr/ark:/12148/bpt6k97432875	Petit carême de M. Massillon, évêque de Massillon . Imprimé par ordre du Roi pour l'éducation de monseigneur le Dauphin	Massillon, Jean-Baptiste (1663-1742)	impr. de Didot laîné (Paris)	1789	6-312 p. ; in-4, Nombre total de vues : 328	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb309033145	Bibliothèque nationale de France, département Littérature et art, CNLJT-3505	Collection : Collection des auteurs classiques françois et latins, Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte	bnf.fr	20.0	2.0	monographie	9908.0	2016-09-11T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k97432875.html	fd19eff8-fecc-4720-8d03-ee23715a982f
Mirabeau_La mission secrète de Mirabeau	ark__12148_bpt6k1411997	https://gallica.bnf.fr/ark:/12148/bpt6k1411997	La mission secrète de Mirabeau à Berlin, 1786-1787 : d'après les documents originaux des archives des affaires étrangères 	Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791)	E. Plon, Nourrit et Cie (Paris)	1900	1 vol. (522 p.) ; in-8, Nombre total de vues : 530	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb340802709	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LG2-120	Appartient à l’ensemble documentaire : MAEDIGen0, Appartient à l’ensemble documentaire : MAEDI010, Appartient à l’ensemble documentaire : MAEDI003, Appartient à l’ensemble documentaire : MAEDI009, Avec mode texte	bnf.fr	94.0	9.0	monographie	9982.0	2016-01-24T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k1411997.html	fd8f69a6-6c74-4301-88e2-15b216ec6e29
Rivarol_Au commencement de la Révolution	ark__12148_bpt6k9912w	https://gallica.bnf.fr/ark:/12148/bpt6k9912w	Au commencement de la Révolution : mémoires 	Rivarol, Antoine de (1753-1801)	(Paris)	1988	1 vol. (XVI-386 p.) ; 21 cm, Nombre total de vues : 410	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb372367538	Bibliothèque nationale de France	Autobiographie	bnf.fr	944.0	9.0	monographie	9918.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9912w.html	95b8fd74-ff78-40b9-9404-9c5988d83ad4
Mirabeau_Lettres inédites de Mirabeau .	ark__12148_bpt6k6479429r	https://gallica.bnf.fr/ark:/12148/bpt6k6479429r	Lettres inédites de Mirabeau . Mémoires et extraits de mémoires, écrits en 1781, 1782 et 1783, dans le cours de ses procès de Pontarlier... et de Provence... le tout faisant suite aux Lettres écrites du donjon de Vincennes, depuis 1777 jusqu'à 1780... publié par J.-F. Vitry,...	Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791)	Lenormant (Paris)	1806	XII-484 p. ; in-8, Nombre total de vues : 504	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951915q	Bibliothèque nationale de France, département Littérature et art, Z-55303	Appartient à l’ensemble documentaire : PACA1, Appartient à l’ensemble documentaire : FrancComt1, Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	9996.0	2013-02-20T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6479429r.html	d86610a1-00de-4ed3-8667-37c1d3758d82
Rousseau_Le contrat social	ark__12148_bpt6k6251938x	https://gallica.bnf.fr/ark:/12148/bpt6k6251938x	Le contrat social 	Rousseau, Jean-Jacques (1712-1778)	s.n. (Paris)	1851	24 p. : portr. et fig. ; in-fol., Nombre total de vues : 524	français	['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12026984n', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31257373m']	Bibliothèque nationale de France, département Littérature et art, Z-7819	Du contrat social (français), Collection : Bibliothèque du peuple, Contient une table des matières, Avec mode texte	bnf.fr	84.0	8.0	monographie	985.0	2012-12-16T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6251938x.html	64f82a76-300f-457b-aed2-5d8d8ed95005
Mirabeau_Lettres de Mirabeau a Chamfort	ark__12148_bpt6k96088453	https://gallica.bnf.fr/ark:/12148/bpt6k96088453	Lettres de Mirabeau a Chamfort , imprimées sur les originaux ecrits de la main de Mirabeau, et suivies d'une traduction de la dissertation allemande sur les causes de l'universalité de la langue française, qui a partagé le prix de l'Académie de Berlin ; traduction attribuée à Mirabeau et imprimée sur le manuscrit corrigé de sa main.	Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791)	A Paris. Chez le directeur de la Décade philosophique, rue Thérèse, butte des Moulins. An V. de la République française 1796-1797.	1796-1797	4-142-2 p. ; in-8, Nombre total de vues : 164	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951878b	Bibliothèque nationale de France, département Littérature et art, Z-15457	Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	950.0	2015-09-13T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k96088453.html	e357d14f-1a57-4a33-aaee-c65d071a28de
Rousseau_Oeuvres complètes de J.-J. Rousseau.	ark__12148_bpt6k2069932	https://gallica.bnf.fr/ark:/12148/bpt6k2069932	Oeuvres complètes de J.-J. Rousseau. IV. Dialogues. Correspondance. Table 	Rousseau, Jean-Jacques (1712-1778)	A. Houssiaux (Paris)	1852-1853	4 vol. : portr., fac-sim., gravures ; 27 cm	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb39019420q'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb39019420q']''	Bibliothèque nationale de France	Appartient à l’ensemble documentaire : GTextes1	bnf.fr	84.0	8.0	monographie	9962.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k2069932.html	c0648b2a-4e62-4554-a357-6dbcbee8dba0
